player_name,fa_year,war_3yr_avg,era_3yr_avg,innings_3yr_avg,games_3yr_avg,annual_avg_salary
이용찬,2021,2.205,3.847585,146.16666666666669,25.5,6.75
유희관,2021,0.71,4.988576666666667,147.8888888888889,28.0,10.0
차우찬,2021,-0.08000000000000002,5.102535,169.16666666666669,29.0,10.0
우규민,2021,1.09,4.4095699999999995,55.22222222222222,51.333333333333336,5.0
백정현,2022,3.2749999999999995,3.433915,157.33333333333331,27.5,9.5
원종현,2023,1.08,3.830883333333334,57.77777777777778,62.333333333333336,6.25
장시환,2023,0.7999999999999999,4.70115,98.16666666666666,45.0,3.1
이태양,2023,0.51,4.936753333333333,90.55555555555556,41.0,6.25
김진성,2023,0.49666666666666665,4.311186666666667,47.666666666666664,52.333333333333336,3.5
이재학,2023,0.24666666666666667,5.501180000000001,88.22222222222223,20.666666666666668,3.0
한현희,2023,1.3266666666666667,4.537886666666667,99.66666666666667,21.333333333333332,10.0
오승환,2024,1.5600000000000003,2.93162,60.55555555555555,59.666666666666664,11.0
임찬규,2024,1.4066666666666665,4.10945,113.0,23.333333333333332,12.5
홍건희,2024,1.4466666666666665,3.11116,65.99999999999999,62.333333333333336,6.13
주권,2024,0.885,3.607005,49.83333333333333,60.0,4.0
임창민,2024,0.5233333333333333,3.4172499999999997,38.111111111111114,43.0,4.0
엄상백,2025,2.6733333333333333,3.81999,136.2222222222222,27.333333333333332,19.5
김원중,2025,1.7033333333333334,3.4993200000000004,56.666666666666664,54.0,13.5
최원태,2025,1.8966666666666665,4.10208,126.33333333333333,25.333333333333332,17.5
장현식,2025,0.6666666666666666,3.70556,59.444444444444436,61.666666666666664,13.0
구승민,2025,0.9900000000000001,3.8998333333333335,61.11111111111111,68.66666666666667,5.25
우규민,2025,0.8666666666666667,3.5205266666666666,44.44444444444445,53.666666666666664,3.5
임기영,2025,0.85,4.504943333333333,85.66666666666667,42.333333333333336,5.0
노경은,2025,1.9833333333333334,3.177633333333333,82.11111111111113,64.66666666666667,8.33
김강률,2025,0.36000000000000004,3.8620566666666662,30.777777777777782,37.0,3.5
최원준,2026,0.21333333333333335,5.368603457943926,108.22222222222223,32.333333333333336,12.0
이영하,2026,0.755,4.02245,66.0,66.0,13.0
양현종,2026,2.3333333333333335,4.245017843137255,165.11111111111111,29.333333333333332,15.0
김광현,2026,2.0500000000000003,4.487666666666667,158.22222222222223,29.666666666666668,18.0
이준영,2026,0.3533333333333333,3.943255294117647,34.22222222222222,59.0,4.0
