ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,pitcherEra,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherGameCount,pitcherInning,pitcherKk,pitcherHit,pitcherHr,pitcherR,pitcherEr,pitcherBb,pitcherHp,pitcherWra,pitcherQs,pitcherWhip,pitcherInningKk,pitcherInningBb,pitcherKkBbRate,pitcherPaKkRate,pitcherPaBbRate,pitcherWpa,pitcherWar,pitcherStart,pitcherPitchCount,isQualified,isKoreanPlayer,collect_year,sort_source
,73211,노경은,https://sports-phinf.pstatic.net/player/kbo/default/73211.png,100,187,38,N,Y,96567,"{""name"":""노경은"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/99b4adc7-55c2-4751-821d-790c596a86c9.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""투수"",""backNumber"":""38"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""노경은"",""os"":96567}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.84507,3,12,0,0,22,94 2/3,52,128,13,79,72,48,5,0.2,6,1.8599999999999999,4.9399999999999995,4.5600000000000005,1.08,11.5,10.6,-4.337,0.25,,,False,False,2016,pitcherEra
,73750,윤규진,https://sports-phinf.pstatic.net/player/kbo/default/73750.png,90,185,55,Y,Y,96664,"{""name"":""윤규진"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/f965ca7c-1de8-4ab4-972e-93d281d8340f.png"",""teamName"":""한화 이글스"",""teamCode"":""HH"",""position"":"""",""backNumber"":""76"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""윤규진"",""os"":96664}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.81728,7,7,1,3,41,100 1/3,74,125,19,78,76,54,8,0.5,2,1.78,6.64,4.84,1.37,15.7,11.4,-1.764,0.25,,,False,False,2016,pitcherEra
,79440,정인욱,https://sports-phinf.pstatic.net/player/kbo/default/79440.png,85,186,97,N,Y,162113,"{""name"":""정인욱"",""image"":""https://ssl.pstatic.net/sstatic/people/16/202103292035571631.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""정인욱"",""os"":162113}",Y,SS,삼성,삼성,https://sports-phinf.pstatic.net/team/kbo/default/SS.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.81081,4,7,0,0,27,111,70,138,19,92,84,62,8,0.36363636363,2,1.8,5.68,5.03,1.13,13.1,11.6,-2.227,0.01,,,False,False,2016,pitcherEra
,65048,김민수,https://sports-phinf.pstatic.net/player/kbo/default/65048.png,80,188,26,N,Y,533971,"{""name"":""김민수"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/0cc0ec14-d24d-4b64-9de8-af3f893df3b2.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""투수"",""backNumber"":""26"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김민수"",""os"":533971}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.75,0,0,1,0,7,8,6,14,1,6,6,3,0,0.0,0,2.13,6.75,3.38,2.0,14.6,7.3,-0.146,0.01,,,False,False,2016,pitcherEra
,65056,엄상백,https://sports-phinf.pstatic.net/player/kbo/default/65056.png,72,187,11,N,Y,2333052,"{""name"":""엄상백"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/786cfd38-f689-45e2-8a5b-38f6facade2e.png"",""teamName"":""한화 이글스"",""teamCode"":""HH"",""position"":""투수"",""backNumber"":""11"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""엄상백"",""os"":2333052}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.75,1,5,1,8,52,73 1/3,57,93,8,61,55,40,4,0.16666666666,0,1.81,7.0,4.91,1.43,16.5,11.6,-0.921,0.08,,,False,False,2016,pitcherEra
,60164,유경국,https://sports-phinf.pstatic.net/player/kbo/default/60164.png,78,177,67,N,Y,172375,"{""name"":""유경국"",""image"":""https://ssl.pstatic.net/sstatic/people/177/2017042011053901.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""유경국"",""os"":172375}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.75,0,0,0,0,2,5 1/3,0,7,1,4,4,4,0,0.0,0,2.06,0.0,6.75,0.0,0.0,16.0,-0.265,-0.07,,,False,False,2016,pitcherEra
,75730,윤근영,https://sports-phinf.pstatic.net/player/kbo/default/75730.png,89,185,15,N,Y,124370,"{""name"":""윤근영"",""image"":""https://ssl.pstatic.net/sstatic/people/19/201904051104302011.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""윤근영"",""os"":124370}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.75,0,0,0,0,3,4,1,6,0,6,3,5,1,0.0,0,2.75,2.25,11.25,0.2,4.0,20.0,0.01,-0.1,,,False,False,2016,pitcherEra
,66825,라라,https://sports-phinf.pstatic.net/player/kbo/default/66825.png,82,186,25,N,Y,,,Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.70345,2,6,0,1,17,48 1/3,40,66,5,46,36,30,1,0.25,2,1.99,7.45,5.59,1.33,17.2,12.9,-0.678,-0.18,,,False,False,2016,pitcherEra
,62869,문승원,https://sports-phinf.pstatic.net/player/kbo/default/62869.png,88,180,42,N,Y,248835,"{""name"":""문승원"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/a15b153e-f602-4c92-a978-3149f8e6073f.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""투수"",""backNumber"":""42"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""문승원"",""os"":248835}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.64398,4,4,0,0,20,63 2/3,49,86,12,52,47,33,3,0.5,0,1.87,6.93,4.66,1.48,16.0,10.8,-1.403,-0.01,,,False,False,2016,pitcherEra
,61215,안규영,https://sports-phinf.pstatic.net/player/kbo/default/61215.png,85,185,20,N,Y,189012,"{""name"":""안규영"",""image"":""https://ssl.pstatic.net/sstatic/people/160/201704061617437021.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""안규영"",""os"":189012}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.60839,1,2,0,0,16,47 2/3,24,73,6,36,35,24,4,0.33333333333,1,2.03,4.53,4.53,1.0,10.5,10.5,-1.216,0.0,,,False,False,2016,pitcherEra
