player_name,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,games_3yr_avg,innings_3yr_avg,era_3yr_avg,whip_3yr_avg,win_3yr_avg,lose_3yr_avg,save_3yr_avg,hold_3yr_avg,hit_allowed_3yr_avg,war_3yr_avg,war_3yr_sum
이용찬,2021,33,P,4,27.0,6.75,NC,25.5,146.16666666666669,3.847585,1.37,11.0,6.5,0.0,0.0,159.5,2.205,4.41
유희관,2021,36,P,1,10.0,10.0,두산,28.0,147.8888888888889,4.988576666666667,1.5533333333333335,10.333333333333334,9.666666666666666,0.0,0.0,186.0,0.71,2.13
차우찬,2021,32,P,2,20.0,10.0,LG,29.0,169.16666666666669,5.102535,1.47,12.5,9.0,0.0,0.0,179.0,-0.08000000000000002,-0.16000000000000003
우규민,2021,38,P,2,10.0,5.0,삼성,51.333333333333336,55.22222222222222,4.4095699999999995,1.3366666666666667,3.0,3.6666666666666665,7.333333333333333,9.333333333333334,63.0,1.09,3.27
백정현,2022,32,P,4,38.0,9.5,삼성,27.5,157.33333333333331,3.433915,1.3,11.0,7.5,0.0,0.0,150.0,3.2749999999999995,6.549999999999999
원종현,2023,33,P,4,25.0,6.25,키움,62.333333333333336,57.77777777777778,3.830883333333334,1.39,3.3333333333333335,2.3333333333333335,15.0,6.333333333333333,59.333333333333336,1.08,3.24
장시환,2023,30,P,3,9.3,3.1,한화,45.0,98.16666666666666,4.70115,1.51,2.0,9.5,7.0,4.5,98.0,0.7999999999999999,1.5999999999999999
이태양,2023,30,P,4,25.0,6.25,한화,41.0,90.55555555555556,4.936753333333333,1.4166666666666667,5.0,4.666666666666667,0.0,3.0,102.33333333333333,0.51,1.53
김진성,2023,36,P,2,7.0,3.5,LG,52.333333333333336,47.666666666666664,4.311186666666667,1.28,3.6666666666666665,2.3333333333333335,0.3333333333333333,9.0,42.666666666666664,0.49666666666666665,1.49
이재학,2023,33,P,3,9.0,3.0,NC,20.666666666666668,88.22222222222223,5.501180000000001,1.5233333333333334,4.666666666666667,6.666666666666667,0.0,0.0,84.66666666666667,0.24666666666666667,0.74
한현희,2023,29,P,4,40.0,10.0,롯데,21.333333333333332,99.66666666666667,4.537886666666667,1.3466666666666667,6.333333333333333,5.0,0.0,0.3333333333333333,103.33333333333333,1.3266666666666667,3.98
오승환,2024,42,P,2,22.0,11.0,삼성,59.666666666666664,60.55555555555555,2.93162,1.19,3.3333333333333335,3.0,35.0,1.3333333333333333,57.333333333333336,1.5600000000000003,4.680000000000001
임찬규,2024,31,P,4,50.0,12.5,LG,23.333333333333332,113.0,4.10945,1.3699999999999999,7.0,7.333333333333333,0.0,0.3333333333333333,110.33333333333333,1.4066666666666665,4.22
홍건희,2024,26,P,4,24.5,6.13,두산,62.333333333333336,65.99999999999999,3.11116,1.3299999999999998,3.0,6.666666666666667,14.333333333333334,10.333333333333334,63.333333333333336,1.4466666666666665,4.34
주권,2024,28,P,4,16.0,4.0,KT,60.0,49.83333333333333,3.607005,1.335,3.0,3.5,0.5,21.0,53.0,0.885,1.77
임창민,2024,39,P,2,8.0,4.0,삼성,43.0,38.111111111111114,3.4172499999999997,1.3800000000000001,0.6666666666666666,1.6666666666666667,9.333333333333334,8.0,37.333333333333336,0.5233333333333333,1.57
엄상백,2025,31,P,4,78.0,19.5,한화,27.333333333333332,136.2222222222222,3.81999,1.23,10.333333333333334,6.0,0.0,0.0,129.66666666666666,2.6733333333333333,8.02
김원중,2025,32,P,4,54.0,13.5,롯데,54.0,56.666666666666664,3.4993200000000004,1.3033333333333335,3.3333333333333335,5.0,24.0,0.6666666666666666,50.0,1.7033333333333334,5.11
최원태,2025,28,P,4,70.0,17.5,삼성,25.333333333333332,126.33333333333333,4.10208,1.343333333333333,8.333333333333334,6.333333333333333,0.0,0.0,122.66666666666667,1.8966666666666665,5.6899999999999995
장현식,2025,33,P,4,52.0,13.0,LG,61.666666666666664,59.444444444444436,3.70556,1.5466666666666666,3.0,3.0,1.3333333333333333,13.333333333333334,62.333333333333336,0.6666666666666666,2.0
구승민,2025,32,P,4,21.0,5.25,롯데,68.66666666666667,61.11111111111111,3.8998333333333335,1.5266666666666666,3.0,4.333333333333333,1.0,20.333333333333332,59.666666666666664,0.9900000000000001,2.97
우규민,2025,42,P,2,7.0,3.5,KT,53.666666666666664,44.44444444444445,3.5205266666666666,1.2766666666666666,3.6666666666666665,1.6666666666666667,0.6666666666666666,11.0,52.333333333333336,0.8666666666666667,2.6
임기영,2025,31,P,3,15.0,5.0,KIA,42.333333333333336,85.66666666666667,4.504943333333333,1.32,4.666666666666667,6.333333333333333,1.3333333333333333,6.0,84.66666666666667,0.85,2.55
노경은,2025,40,P,3,25.0,8.33,SSG,64.66666666666667,82.11111111111113,3.177633333333333,1.25,9.666666666666666,5.0,1.0,25.0,72.66666666666667,1.9833333333333334,5.95
김강률,2025,41,P,4,14.0,3.5,LG,37.0,30.777777777777782,3.8620566666666662,1.4333333333333336,2.0,2.0,3.6666666666666665,6.666666666666667,30.666666666666668,0.36000000000000004,1.08
최원준,2026,29,P,4,48.0,12.0,KT,32.333333333333336,108.22222222222223,5.368603457943926,1.3866666666666667,4.333333333333333,8.0,0.0,3.0,116.33333333333333,0.21333333333333335,0.64
이영하,2026,27,P,4,52.0,13.0,두산,66.0,66.0,4.02245,1.5150000000000001,4.5,4.0,1.0,9.5,62.5,0.755,1.51
양현종,2026,38,P,3,45.0,15.0,KIA,29.333333333333332,165.11111111111111,4.245017843137255,1.36,9.0,8.333333333333334,0.0,0.0,175.33333333333334,2.3333333333333335,7.0
김광현,2026,38,P,2,36.0,18.0,SSG,29.666666666666668,158.22222222222223,4.487666666666667,1.4400000000000002,10.333333333333334,9.333333333333334,0.0,0.0,163.0,2.0500000000000003,6.15
이준영,2026,31,P,3,12.0,4.0,KIA,59.0,34.22222222222222,3.943255294117647,1.46,2.6666666666666665,0.3333333333333333,0.0,8.666666666666666,33.0,0.3533333333333333,1.0599999999999998
