player_name,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,games_3yr_avg,innings_3yr_avg,era_3yr_avg,whip_3yr_avg,win_3yr_avg,lose_3yr_avg,save_3yr_avg,hold_3yr_avg,hit_allowed_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,era_last_year,whip_last_year,mvp_count,golden_glove_count,allstar_count,national_team,postseason_experience,star_score,pitcher_role
안영명,2018,34,P,2,12.0,6.0,한화,18.5,64.0,12.6742,3.2249999999999996,5.0,3.5,0.0,0.5,73.0,0.44,1.32,0.0,,,0,1,3,1,1,9,SP
박정진,2018,42,P,2,7.5,3.75,한화,69.33333333333333,76.0,4.200893333333333,1.37,4.333333333333333,2.3333333333333335,0.6666666666666666,9.333333333333334,72.66666666666667,0.9866666666666667,2.96,0.38,3.9375,1.29,0,0,2,0,1,3,SP
김승회,2018,37,P,2,3.0,1.5,두산,43.666666666666664,56.11111111111111,5.7047766666666675,1.5666666666666669,5.0,2.6666666666666665,0.6666666666666666,5.666666666666667,70.33333333333333,0.18666666666666668,0.56,0.3,4.95652,1.49,0,0,1,0,1,2,SP
권오준,2018,38,P,2,6.0,3.0,삼성,38.666666666666664,43.44444444444445,5.687819999999999,1.346666666666667,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,46.0,0.15333333333333332,0.45999999999999996,0.42,5.14286,1.27,0,1,3,1,1,9,SP
윤성환,2019,38,P,1,10.0,10.0,삼성,26.666666666666668,157.22222222222223,5.204999999999999,1.4233333333333331,9.333333333333334,9.333333333333334,0.0,0.0,182.33333333333337,2.5466666666666664,7.64,0.26,6.98011,1.67,0,3,6,1,1,18,SP
이보근,2019,33,P,4,19.0,4.75,키움,62.0,59.44444444444445,4.73355,1.43,6.0,5.0,2.0,22.333333333333332,65.66666666666667,0.85,2.55,0.88,4.27869,1.31,0,0,2,0,1,3,SU
금민철,2019,33,P,2,7.0,3.5,KT,32.5,105.16666666666669,5.87242,1.95,6.0,8.0,0.0,1.5,146.5,0.86,2.58,2.3,5.41151,1.79,0,0,1,0,0,1,SP
정우람,2020,37,P,4,39.0,9.75,한화,56.0,56.77777777777778,2.5616166666666667,1.1733333333333331,5.0,3.3333333333333335,29.0,0.0,51.0,2.0766666666666667,6.23,2.39,1.54286,1.25,0,4,7,1,1,22,CL
윤규진,2020,36,P,2,5.0,2.5,한화,27.0,101.5,5.555675,1.535,5.0,6.5,0.0,1.0,118.5,0.7133333333333334,2.14,0.0,,,0,0,1,0,1,2,SP
고효준,2020,37,P,1,1.2,1.2,롯데,52.666666666666664,44.88888888888889,5.33449,1.63,2.3333333333333335,3.6666666666666665,0.0,8.666666666666666,45.0,0.3666666666666667,1.1,0.47,4.76471,1.51,0,0,1,0,1,2,SP
