player_name,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,birth_year
김헌곤,2025,40,OF,2,6.0,3.0,삼성,1985
김성욱,2025,36,OF,2,3.0,1.5,NC,1989
김강률,2025,41,P,4,14.0,3.5,LG,1984
서건창,2025,36,2B,2,5.0,2.5,KIA,1989
노경은,2025,40,P,3,25.0,8.33,SSG,1985
류지혁,2025,31,IF,4,26.0,6.5,삼성,1994
우규민,2025,42,P,2,7.0,3.5,KT,1983
임기영,2025,31,P,3,15.0,5.0,KIA,1994
장현식,2025,33,P,4,52.0,13.0,LG,1992
최원태,2025,28,P,4,70.0,17.5,삼성,1997
김원중,2025,32,P,4,54.0,13.5,롯데,1993
심우준,2025,32,SS,4,50.0,12.5,한화,1993
엄상백,2025,31,P,4,78.0,19.5,한화,1994
허경민,2025,32,3B,4,40.0,10.0,KT,1993
최정,2025,38,3B,4,110.0,27.5,SSG,1987
구승민,2025,32,P,4,21.0,5.25,롯데,1993
한승택,2026,33,C,4,10.0,2.5,KT,1993
이준영,2026,31,P,3,12.0,4.0,KIA,1995
강민호,2026,41,C,2,20.0,10.0,삼성,1985
김광현,2026,38,P,2,36.0,18.0,SSG,1988
양현종,2026,38,P,3,45.0,15.0,KIA,1988
강백호,2026,26,1B,4,100.0,25.0,한화,2000
최원준,2026,29,P,4,48.0,12.0,KT,1997
김현수,2026,38,OF,3,50.0,16.67,KT,1988
박찬호,2026,32,SS,4,80.0,20.0,두산,1994
조수행,2026,33,OF,4,16.0,4.0,두산,1993
이영하,2026,27,P,4,52.0,13.0,두산,1999
최형우,2026,43,OF,2,26.0,13.0,KIA,1983

