player_name,fa_year,age_at_fa,team,annual_avg_salary,games_3yr_avg,innings_3yr_avg,win_3yr_avg,lose_3yr_avg,save_3yr_avg,hold_3yr_avg,qs_3yr_avg,so_3yr_avg,bb_3yr_avg,hit_allowed_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_seasons_valid,era_3yr_avg,whip_3yr_avg,k9_3yr_avg,bb9_3yr_avg,k_bb_3yr_avg,ip_per_game_3yr_avg,active_seasons,war_last_year,era_last_year,whip_last_year,pitcher_role,mvp_count,golden_glove_count,national_team,star_score,age_squared,prime_years_left,hit_per_inn,whip_era_ratio,win_rate,star_x_war,role_x_save,role_x_hold,role_x_inn,market_level,role_enc,player_id,seasons_used
안영명,2018,34,한화,6.0,20.666666666666668,71.889,3.6666666666666665,5.0,0.0,0.3333333333333333,2.6666666666666665,45.666666666666664,30.666666666666668,89.66666666666667,-0.5396666666666666,0.6433333333333334,1.9300000000000002,3,5.550253323642467,1.6719062721695945,5.716688274052127,3.8382970969132963,1.5837855119234745,3.523132514478339,3,0.61,5.74905,1.72,SP,0,0,0,0,1156,1,1.2472932808450066,0.3012306240235485,0.4230769230769231,0.0,0.0,0.0,71.889,,2,73738,"2015,2016,2017"
박정진,2018,42,한화,3.75,69.33333333333333,76.0,4.333333333333333,2.3333333333333335,0.6666666666666666,9.333333333333334,0.0,76.0,32.0,72.66666666666667,-0.49899999999999994,0.9866666666666667,2.96,3,4.184211052631579,1.3778947368421053,9.002631578947367,3.7926315789473684,2.3926315789473684,1.1175263157894737,3,0.38,3.9375,1.29,RP,0,0,0,0,1764,0,0.9561403508771931,0.329308134678222,0.65,0.0,0.0,0.0,0.0,,1,99737,"2015,2016,2017"
김승회,2018,37,두산,1.5,43.666666666666664,56.111,5.0,2.6666666666666665,0.6666666666666666,5.666666666666667,0.0,36.666666666666664,18.0,70.33333333333333,-0.4663333333333333,0.18666666666666668,0.56,3,5.667325781219368,1.5714059631801252,5.882453173174601,2.888375363119531,2.09039600078416,1.4196224982623729,3,0.3,4.95652,1.49,RP,0,0,0,0,1369,0,1.2534678286491656,0.27727468365900526,0.6521739130434783,0.0,0.0,0.0,0.0,,1,73248,"2015,2016,2017"
권오준,2018,38,삼성,3.0,38.666666666666664,43.44433333333333,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.0,38.0,11.333333333333334,46.0,-0.07566666666666665,0.15333333333333332,0.45999999999999996,3,5.317138778129867,1.3194118910790054,7.872023202105375,2.348389279767979,3.392685965948762,1.1366598635802136,3,0.42,5.14286,1.27,RP,0,0,0,0,1444,0,1.0588262374072568,0.2481432112522491,0.2857142857142857,0.0,0.0,0.0,0.0,,1,99445,"2015,2016,2017"
윤성환,2019,38,삼성,10.0,26.666666666666668,157.222,9.333333333333334,9.333333333333334,0.0,0.0,12.0,101.33333333333333,36.666666666666664,182.33333333333334,0.07466666666666673,2.5466666666666664,7.639999999999999,3,4.980208399587844,1.392643014336416,5.801051633995242,2.097759601073641,2.778861673302718,5.970874082507536,3,0.26,6.98011,1.67,SP,0,0,0,0,1444,0,1.1597189536663657,0.2796354896416924,0.5,0.0,0.0,0.0,157.222,3.375,2,74454,"2016,2017,2018"
이보근,2019,33,키움,4.75,62.0,59.44466666666667,6.0,5.0,2.0,22.333333333333332,0.0,56.0,19.333333333333332,65.66666666666667,0.7473333333333333,0.85,2.55,3,4.693458775780278,1.4277572420290017,8.477664943308623,2.930898706920722,3.078017427972232,0.9588280473717856,3,0.88,4.27869,1.31,SU,0,0,0,0,1089,2,1.1046687675933922,0.3042015090015657,0.5454545454545454,0.0,0.0,22.333333333333332,0.0,3.375,3,75342,"2016,2017,2018"
금민철,2019,33,KT,3.5,26.333333333333332,78.88866666666667,4.333333333333333,5.666666666666667,0.0,1.0,3.6666666666666665,45.666666666666664,36.666666666666664,109.66666666666667,-0.17666666666666667,0.9333333333333335,2.8000000000000003,3,5.590138186177989,1.854112969332308,5.211380848960138,4.180438550531128,1.254083898827884,4.112646413088488,3,2.3,5.41151,1.79,SP,0,0,0,0,1089,2,1.3901447609711577,0.33167569522999146,0.4333333333333333,0.0,0.0,0.0,78.88866666666667,3.375,2,75258,"2016,2017,2018"
정우람,2020,35,한화,9.75,56.0,56.77766666666667,5.0,3.3333333333333335,29.0,0.0,0.0,60.666666666666664,15.666666666666666,51.0,2.4706666666666663,2.0766666666666667,6.23,3,2.5362066210305696,1.173855036898311,9.618673598187081,2.4851468006786703,3.9041113583392533,1.0153796328368547,3,2.39,1.54286,1.25,CL,0,0,2,4,1225,0,0.8982405053630241,0.46283888196038353,0.6,24.92,29.0,0.0,0.0,3.75,0,74857,"2017,2018,2019"
윤규진,2020,36,한화,2.5,19.0,69.111,3.3333333333333335,4.333333333333333,0.0,0.6666666666666666,3.3333333333333335,58.333333333333336,25.0,81.0,0.163,0.6866666666666666,2.06,3,5.599673094972821,1.535932340727236,7.5950410209662715,3.2552591242108107,2.3258381444343157,3.8184893480536144,3,-0.08,10.3846,1.62,RP,0,0,0,0,1296,0,1.1720276077614271,0.27428964417693225,0.4347826086956522,0.0,0.0,0.0,0.0,3.75,1,73750,"2017,2018,2019"
고효준,2020,37,롯데,1.2,52.666666666666664,44.888666666666666,2.3333333333333335,3.6666666666666665,0.0,8.666666666666666,0.0,48.666666666666664,27.0,45.0,0.05200000000000001,0.3666666666666667,1.1,3,5.147522429640741,1.6044058633953633,9.761926395675227,5.413859474551853,1.8061879019203064,0.8622305481710305,3,0.47,4.76471,1.51,RP,0,0,0,0,1369,0,1.0024802102980708,0.31168506506291005,0.3888888888888889,0.0,0.0,0.0,0.0,3.75,1,72523,"2017,2018,2019"
송은범,2020,36,LG,5.0,48.0,58.888666666666666,3.0,4.666666666666667,1.0,6.333333333333333,0.6666666666666666,37.333333333333336,26.333333333333332,67.33333333333333,0.23100000000000007,0.49333333333333335,1.48,3,4.279245497662256,1.5929433507296253,5.70641674119525,4.021884459941359,1.5013217031007666,1.4542808859656071,3,-0.71,5.25,1.72,RP,0,0,0,0,1296,0,1.1434005411341175,0.3722486479450285,0.3913043478260869,0.0,0.0,0.0,0.0,3.75,1,73801,"2017,2018,2019"
진해수,2020,34,LG,4.67,71.0,46.111333333333334,2.6666666666666665,2.3333333333333335,0.3333333333333333,19.333333333333332,0.0,41.0,14.666666666666666,53.0,0.3406666666666666,-0.12000000000000001,-0.36000000000000004,3,4.814461000477106,1.4669399424581087,8.001855003108417,2.8620229300099758,2.8405551057585265,0.6532435120794599,3,0.3,3.42857,1.43,SU,0,0,0,0,1156,1,1.1493920511226452,0.30469453222546344,0.5333333333333333,-0.0,0.0,19.333333333333332,0.0,3.75,3,76650,"2017,2018,2019"
오주원,2020,35,키움,3.5,58.333333333333336,60.111,2.6666666666666665,5.333333333333333,6.666666666666667,12.0,0.0,44.333333333333336,11.666666666666666,70.33333333333333,0.8873333333333333,0.8366666666666666,2.51,3,4.4417771282571685,1.3634756811010742,6.6363040597117555,1.7471167784043964,4.093159321921113,1.0639141310797249,3,1.49,2.31902,1.12,CL,0,0,0,0,1225,0,1.1700576156333007,0.306966252860162,0.3333333333333333,0.0,6.666666666666667,0.0,0.0,3.75,0,74359,"2017,2018,2019"
우규민,2021,36,삼성,5.0,51.333333333333336,55.22233333333333,3.0,3.6666666666666665,7.333333333333333,9.333333333333334,0.0,39.333333333333336,10.333333333333334,63.0,1.1,1.0899999999999999,3.2699999999999996,3,4.291747935014215,1.3283502447681192,6.410022032148829,1.6861371305087915,3.805875642101324,1.0894268261029656,3,0.66,6.1875,1.46,RP,0,0,2,4,1296,0,1.1408427749642356,0.309512642606705,0.45000000000000007,13.079999999999998,0.0,0.0,0.0,3.75,1,73117,"2018,2019,2020"
차우찬,2021,34,LG,10.0,23.666666666666668,134.111,10.0,7.666666666666667,0.0,0.0,10.666666666666666,103.66666666666667,55.333333333333336,143.0,0.5816666666666667,-0.013333333333333345,-0.040000000000000036,3,5.144989708500173,1.4828915102663713,6.956744264079756,3.71087867512732,1.8948962675196916,5.688782836605499,3,0.12,5.34375,1.55,SP,0,0,5,10,1156,1,1.0662809165541978,0.28822050077504474,0.5660377358490566,-0.40000000000000036,0.0,0.0,134.111,3.75,2,76455,"2018,2019,2020"
유희관,2021,35,두산,10.0,28.0,147.88866666666667,10.333333333333334,9.666666666666666,0.0,0.0,12.0,67.0,41.0,186.0,0.9893333333333333,0.71,2.13,3,4.888804661164028,1.5363937736946263,4.077198342897585,2.492486960912038,1.6257177245946275,5.323611313465535,3,-0.28,5.01711,1.6800000000000002,SP,0,0,0,0,1225,0,1.2577028665707988,0.3142677771316005,0.5166666666666667,0.0,0.0,0.0,147.88866666666667,3.75,2,79229,"2018,2019,2020"
이용찬,2021,32,NC,6.75,18.666666666666668,106.33333333333333,7.666666666666667,5.333333333333333,0.0,0.0,10.333333333333334,73.0,29.0,120.0,1.1733333333333336,1.27,3.81,3,4.234237222915361,1.4035531034482758,6.181304984326019,2.4539700000000004,2.542016959247649,5.698730018808777,3,-0.6,8.4375,1.76,SP,0,0,2,4,1024,3,1.1285266457680252,0.3314772011006743,0.5897435897435898,15.24,0.0,0.0,106.33333333333333,3.75,2,77211,"2018,2019,2020"
백정현,2022,35,삼성,9.5,22.0,124.55566666666668,8.666666666666666,6.333333333333333,0.0,0.0,10.0,79.0,42.333333333333336,122.33333333333333,1.5256666666666667,2.34,7.02,3,3.7091867141866954,1.3188402508115515,5.707672178704568,3.0572524734589885,1.893657561411631,5.666944846614766,3,4.27,2.62579,1.24,SP,0,0,0,0,1225,0,0.9821579106530679,0.3555604914056559,0.5777777777777777,0.0,0.0,0.0,124.55566666666668,5.0,2,77446,"2019,2020,2021"
한현희,2023,30,롯데,10.0,21.333333333333332,99.66699999999999,6.333333333333333,5.0,0.0,0.3333333333333333,6.666666666666667,76.33333333333333,30.333333333333332,103.33333333333333,1.553,1.3266666666666667,3.98,3,4.60535032063438,1.339643278785021,6.893756743288486,2.7362766679710107,2.5591301701332108,4.786494453195809,3,0.43,4.75107,1.38,SP,0,0,1,2,900,5,1.0367858301477253,0.29088846352962944,0.5588235294117647,7.96,0.0,0.0,99.66699999999999,5.085,2,62363,"2020,2021,2022"
이재학,2023,33,NC,3.0,20.666666666666668,88.22233333333334,4.666666666666667,6.666666666666667,0.0,0.0,4.666666666666667,66.0,49.666666666666664,84.66666666666667,0.21699999999999997,0.24666666666666667,0.74,3,5.508816514676933,1.5232998824938504,6.734923583219667,5.067530481699644,1.3357431791647618,4.36914660308992,3,0.31,4.74725,1.42,SP,0,0,1,2,1089,2,0.9596965243116822,0.27652035213650333,0.4117647058823529,1.48,0.0,0.0,88.22233333333334,5.085,2,60263,"2020,2021,2022"
김진성,2023,38,LG,3.5,52.333333333333336,47.666666666666664,3.6666666666666665,2.3333333333333335,0.3333333333333333,9.0,0.0,49.0,16.666666666666668,42.666666666666664,0.7476666666666666,0.49666666666666665,1.49,3,4.027982205524475,1.2465746853146853,9.252536573426573,3.144620979020979,3.3899218181818185,0.9138855734265733,3,1.01,3.10345,1.14,RP,0,0,0,0,1444,0,0.8951048951048951,0.3094786972010397,0.611111111111111,0.0,0.0,0.0,0.0,5.085,1,75867,"2020,2021,2022"
장시환,2023,36,한화,3.1,36.333333333333336,88.44466666666666,1.3333333333333333,10.0,4.666666666666667,3.3333333333333335,4.0,76.33333333333333,51.666666666666664,94.33333333333333,-0.07933333333333331,0.33666666666666667,1.01,3,5.393214793807051,1.6530272788259326,7.7664343431297915,5.2560793565845305,1.5169479222414013,3.73475078957088,3,0.41,4.3822,1.41,RP,0,0,1,2,1296,0,1.0665802347230284,0.3065012876409223,0.1176470588235294,2.02,0.0,0.0,0.0,5.085,1,77318,"2020,2021,2022"
원종현,2023,36,키움,6.25,62.333333333333336,57.77766666666667,3.3333333333333335,2.3333333333333335,15.0,6.333333333333333,0.0,45.333333333333336,20.0,59.333333333333336,0.782,1.08,3.24,3,3.7903857426456593,1.3737119879076691,7.061596060761656,3.118943651814715,2.34767193783065,0.9291423041198157,3,1.43,2.98421,1.14,RP,0,0,2,4,1296,0,1.0269250517789457,0.36242010211573583,0.5882352941176471,12.96,0.0,0.0,0.0,5.085,1,76118,"2020,2021,2022"
이태양,2023,30,한화,6.25,41.0,90.55566666666668,5.0,4.666666666666667,0.0,3.0,4.333333333333333,56.0,24.0,102.33333333333333,1.0190000000000001,0.5100000000000001,1.5300000000000002,3,4.803681062845322,1.3969326418004393,5.563459897595218,2.3862826916776783,2.3666988629461803,2.745982633150143,3,1.33,3.61607,1.25,SP,0,0,2,4,900,5,1.1300599631166095,0.2908046191087063,0.5172413793103448,6.120000000000001,0.0,0.0,90.55566666666668,5.085,2,60768,"2020,2021,2022"
김대우,2024,36,삼성,2.0,26.333333333333332,39.77766666666667,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,0.0,27.0,12.333333333333334,46.0,-0.363,0.06,0.18,3,5.203918734633337,1.4701412015117359,6.106412643610736,2.7897563959675864,5.595909513713726,1.5226939656256022,3,0.27,4.5,1.38,RP,0,0,0,0,1296,0,1.1564278112508695,0.282506564087481,0.2,0.0,0.0,0.0,0.0,6.25,1,61365,"2021,2022,2023"
임창민,2024,39,삼성,4.0,43.0,38.111,0.6666666666666666,1.6666666666666667,9.333333333333334,8.0,0.0,30.0,15.666666666666666,37.333333333333336,0.40233333333333327,0.5233333333333333,1.5699999999999998,3,3.306116322584031,1.3912541435980863,7.081316067976873,3.698656643313829,1.9727427776757367,0.8870118688392677,3,1.34,2.50714,1.46,CL,0,0,2,4,1521,0,0.9795946926958972,0.4208122182799347,0.2857142857142857,6.279999999999999,9.333333333333334,0.0,0.0,6.25,0,78352,"2021,2022,2023"
장민재,2024,34,한화,2.67,23.0,75.0,3.3333333333333335,6.0,0.0,0.3333333333333333,2.0,49.666666666666664,23.0,79.0,0.8650000000000001,0.6066666666666666,1.8199999999999998,3,3.8400007426222222,1.3603849777777777,5.961839022222222,2.7589486222222224,2.142859688888889,3.3932348355555555,3,-0.09,4.82609,1.46,SP,0,0,0,0,1156,1,1.0533333333333332,0.35426685278420317,0.35714285714285715,0.0,0.0,0.0,75.0,6.25,2,79764,"2021,2022,2023"
