ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,hitterHra,hitterRbi,hitterRun,hitterHr,hitterHit,hitterH2,hitterH3,hitterGameCount,hitterAb,hitterSb,hitterCs,hitterBb,hitterHp,hitterKk,hitterGd,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterWpa,hitterWar,isQualified,isKoreanPlayer,collect_year,sort_source
,78224,김재환,https://sports-phinf.pstatic.net/player/kbo/default/78224.png,98,184,32,N,Y,154249,"{""name"":""김재환"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/6c34f079-6a8b-43dd-86c6-bd6a8c341b99.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""외야수"",""backNumber"":""32"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김재환"",""os"":154249}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.33396584440227706,133,104,44,176,36,1,139,527,2,,59,9,134,,0.405,0.657,1.062,0.323,0.371,0.45,184.9,3.839,9.39,False,False,2018,hitterWar
,75125,박병호,https://sports-phinf.pstatic.net/player/kbo/default/75125.png,107,185,52,Y,Y,104972,"{""name"":""박병호"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/793a04f8-38e8-4461-8056-71ef031a6db5.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":"""",""backNumber"":""52"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""박병호"",""os"":104972}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.345,112,88,43,138,20,0,113,400,0,,68,17,114,,0.457,0.718,1.175,0.373,0.386,0.49,169.3,5.25,7.18,False,False,2018,hitterWar
,67450,러프,https://sports-phinf.pstatic.net/player/kbo/default/67450.png,113,190,50,N,Y,552268,"{""name"":""다린 러프"",""image"":""https://ssl.pstatic.net/sstatic/people/153/202307211601393111.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":""Darin Cortland Ruf"",""keyword"":""다린러프"",""os"":552268}",Y,SS,삼성,삼성,https://sports-phinf.pstatic.net/team/kbo/default/SS.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3300395256916996,125,97,33,167,32,4,137,506,5,,65,18,107,,0.419,0.605,1.024,0.27499999999999997,0.358,0.443,141.8,4.102,7.12,False,False,2018,hitterWar
,76267,최주환,https://sports-phinf.pstatic.net/player/kbo/default/76267.png,73,177,53,N,Y,124615,"{""name"":""최주환"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/487ba54a-2ec9-47b4-b7fa-71bd99c8bd63.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":""내야수"",""backNumber"":""53"",""retire"":null,""job"":[""야구선수""],""viewName"":""Choi Joo Hwan"",""keyword"":""최주환"",""os"":124615}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3333333333333333,108,87,26,173,39,6,138,519,1,,51,10,89,,0.397,0.582,0.979,0.24899999999999994,0.355,0.423,162.2,2.592,6.58,False,False,2018,hitterWar
,79192,채은성,https://sports-phinf.pstatic.net/player/kbo/default/79192.png,92,186,22,N,Y,217571,"{""name"":""채은성"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/9c30774b-8d38-4c81-95bd-8f891bbb3f66.png"",""teamName"":""한화 이글스"",""teamCode"":""HH"",""position"":""외야수"",""backNumber"":""22"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""채은성"",""os"":217571}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.33081285444234404,119,78,25,175,36,2,139,529,3,,35,9,97,,0.379,0.548,0.927,0.21700000000000003,0.364,0.399,161.2,2.205,6.52,False,False,2018,hitterWar
,76290,김현수,https://sports-phinf.pstatic.net/player/kbo/default/76290.png,105,188,10,N,Y,154465,"{""name"":""김현수"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/b3342e7c-a43b-4932-b9be-17fbdcb97f30.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""외야수"",""backNumber"":""10"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김현수"",""os"":154465}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3620309050772627,101,95,20,164,39,2,117,453,1,,47,1,61,,0.415,0.589,1.004,0.22699999999999998,0.377,0.432,176.1,2.765,6.47,False,False,2018,hitterWar
,67872,로맥,https://sports-phinf.pstatic.net/player/kbo/default/67872.png,100,188,27,Y,Y,3476052,"{""name"":""제이미 로맥"",""image"":""https://ssl.pstatic.net/sstatic/people/159/202104151318347891.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구코치"",""전 야구선수""],""viewName"":""Jamie Romak, James Robert Romak"",""keyword"":""제이미로맥"",""os"":3476052}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3162878787878788,107,102,43,167,19,0,141,528,10,,72,10,123,,0.404,0.597,1.001,0.28099999999999997,0.337,0.426,136.6,2.707,6.12,False,False,2018,hitterWar
,76232,양의지,https://sports-phinf.pstatic.net/player/kbo/default/76232.png,95,180,25,N,Y,124429,"{""name"":""양의지"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/4f528c84-0887-4593-94b6-72c73d3b2312.png"",""teamName"":""두산 베어스"",""teamCode"":""OB"",""position"":""포수"",""backNumber"":""25"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""양의지"",""os"":124429}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.357630979498861,77,84,23,157,29,1,133,439,6,,45,13,40,,0.427,0.585,1.012,0.22699999999999998,0.351,0.434,165.0,2.58,6.01,False,False,2018,hitterWar
,77532,손아섭,https://sports-phinf.pstatic.net/player/kbo/default/77532.png,84,174,8,N,Y,111014,"{""name"":""손아섭"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/db34f1fa-9f19-456e-8278-324ef97ea645.png"",""teamName"":""두산 베어스"",""teamCode"":""OB"",""position"":""외야수"",""backNumber"":""8"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""손아섭"",""os"":111014}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3291139240506329,93,109,26,182,32,5,141,553,20,,68,2,99,,0.404,0.546,0.95,0.21700000000000003,0.364,0.418,125.4,2.765,5.82,False,False,2018,hitterWar
,67025,로하스,https://sports-phinf.pstatic.net/player/kbo/default/67025.png,102,189,0,N,Y,6010152,"{""name"":""멜 로하스 주니어"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/2913b4a4-f948-441d-9f37-9bd8fb7a467c.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""외야수"",""backNumber"":""3"",""retire"":null,""job"":[""야구선수""],""viewName"":""Mel Rojas Jr."",""keyword"":""멜로하스주니어"",""os"":6010152}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2018,2018,kbaseball,kbo,,,0.3049645390070922,114,114,43,172,30,1,144,564,18,,71,7,142,,0.388,0.59,0.978,0.285,0.339,0.418,122.9,3.93,5.8100000000000005,False,False,2018,hitterWar
