collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2022,63543,구승민,롯데,투수,False,62.0,73,2.90323,1.31,2,4,0,26,0,77,35,1,46,3,20,20,11.18,5.08,2.2,29.3,13.3,1.769,1.81,0.849,SU,1.0
2023,63543,구승민,롯데,투수,False,63.667,67,3.95812,1.48,2,6,3,22,0,66,29,5,65,4,32,28,9.33,4.1,2.28,22.8,10.0,0.851,0.81,0.95,SU,1.0
2024,63543,구승민,롯데,투수,False,57.667,66,4.83815,1.79,5,3,0,13,0,62,35,6,68,6,37,31,9.68,5.46,1.77,22.2,12.5,-0.904,0.35,0.874,RP,1.0
2025,63543,구승민,롯데,투수,False,9.0,11,7.0,1.78,0,1,0,1,0,10,7,1,9,1,10,7,10.0,7.0,1.43,22.2,15.6,-0.12,-0.25,0.818,RP,1.0
2026,63543,구승민,롯데,투수,False,6.0,6,6.0,1.67,0,0,0,0,0,4,3,1,7,0,4,4,6.0,4.5,1.33,13.8,10.3,-0.071,0.02,1.0,RP,0.757
2010,99245,구자운,삼성,,False,3.0,1,6.0,1.33,0,0,0,0,0,3,3,0,1,0,2,2,9.0,9.0,1.0,23.1,23.1,0.0,,3.0,SP,1.0
2015,64354,구자형,넥센,,False,2.667,3,10.125,2.25,0,0,0,0,0,1,2,0,4,0,3,3,3.38,6.75,0.5,7.7,15.4,0.026,-0.04,0.889,RP,1.0
2021,64498,구준범,삼성,,False,2.0,1,22.5,2.5,0,0,0,0,0,1,3,1,2,2,5,5,4.5,13.5,0.33,8.3,25.0,-0.321,-0.24,2.0,RP,1.0
2016,65933,구창모,NC,투수,False,68.667,39,4.19417,1.43,4,1,0,1,1,67,37,2,61,9,32,32,8.78,4.85,1.81,22.6,12.5,-0.513,0.82,1.761,SP,1.0
2017,65933,구창모,NC,투수,False,115.0,31,5.32174,1.63,7,10,0,0,3,118,50,5,138,18,80,68,9.23,3.91,2.36,22.5,9.5,-1.097,0.42,3.71,SP,1.0
2018,65933,구창모,NC,투수,False,133.0,36,5.34586,1.58,5,11,0,1,6,116,52,7,158,21,83,79,7.85,3.52,2.23,19.4,8.7,0.4,1.01,3.694,SP,1.0
2019,65933,구창모,NC,투수,False,107.0,23,3.19626,1.18,10,7,0,1,7,114,41,6,85,10,40,38,9.59,3.45,2.78,25.4,9.1,2.076,2.45,4.652,SP,1.0
