collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2011,98330,김수경,넥센,,False,69.0,18,3.3913,1.26,1,2,0,0,3,37,22,2,65,6,27,26,4.83,2.87,1.6800000000000002,12.8,7.6,0.0,,3.833,SP,1.0
2012,98330,김수경,넥센,,False,12.667,9,2.13158,1.82,0,1,0,0,0,5,4,1,19,0,3,3,3.55,2.84,1.25,8.8,7.0,0.0,,1.407,RP,1.0
2010,78550,김수완,롯데,,False,63.667,13,3.95812,1.21,5,2,0,0,4,44,16,5,61,9,32,28,6.22,2.26,2.75,16.5,6.0,0.0,,4.897,SP,1.0
2011,78550,김수완,롯데,,False,35.0,24,6.68571,1.8,0,3,0,1,0,29,17,1,46,2,29,26,7.46,4.37,1.71,17.5,10.2,0.0,,1.458,RP,1.0
2012,78550,김수완,롯데,,False,40.667,24,3.7623,1.23,2,0,0,0,0,24,13,1,37,3,20,17,5.31,2.88,1.85,14.3,7.7,0.0,,1.694,RP,1.0
2013,78550,김수완,롯데,,False,50.667,15,4.08553,1.62,1,0,0,0,0,22,25,2,57,4,28,23,3.91,4.44,0.88,9.9,11.3,0.0,,3.378,SP,1.0
2014,78550,김수완,두산,,False,1.333,2,33.75,6.0,0,0,0,0,0,0,1,0,7,0,5,5,0.0,6.75,0.0,0.0,8.3,-0.026,0.0,0.666,RP,1.0
2015,78550,김수완,두산,,False,15.333,9,8.80435,2.02,0,0,0,0,1,13,9,3,22,4,15,15,7.63,5.28,1.44,16.3,11.3,-0.143,-0.2,1.704,SP,1.0
2019,68616,김승범,KIA,,False,1.0,1,18.0,5.0,0,0,0,0,0,0,1,0,4,0,2,2,0.0,9.0,0.0,0.0,12.5,-0.014,-0.05,1.0,RP,1.0
2020,68616,김승범,KIA,,False,1.0,1,9.0,3.0,0,0,0,0,0,0,2,0,1,0,1,1,0.0,18.0,0.0,0.0,40.0,-0.001,-0.03,1.0,RP,1.0
2024,50711,김승일,한화,투수,False,3.0,3,3.0,1.33,0,0,0,0,0,2,0,1,4,0,1,1,6.0,0.0,99.99,15.4,0.0,0.033,0.06,1.0,RP,1.0
2025,50711,김승일,한화,투수,False,2.667,5,23.625,2.25,0,0,0,0,0,3,3,3,3,1,7,7,10.13,10.13,1.0,17.6,17.6,-0.014,-0.26,0.533,RP,1.0
2016,66492,김승현,삼성,,False,2.0,2,0.0,0.5,0,0,0,0,0,1,0,0,1,0,0,0,4.5,0.0,99.99,14.3,0.0,0.001,0.05,1.0,RP,1.0
2017,66492,김승현,삼성,,False,43.667,41,5.77099,1.95,0,3,0,0,0,37,34,6,51,7,31,28,7.63,7.01,1.09,17.2,15.8,-1.454,-0.21,1.065,RP,1.0
2018,66492,김승현,삼성,,False,32.333,28,4.45361,1.95,1,3,0,2,0,29,15,5,48,3,18,16,8.07,4.18,1.93,18.4,9.5,-0.589,0.37,1.155,RP,1.0
2019,66492,김승현,삼성,,False,12.667,14,6.39474,1.58,1,1,0,0,0,4,9,1,11,0,12,9,2.84,6.39,0.44,6.6,14.8,-0.01,-0.2,0.905,RP,1.0
2022,66492,김승현,삼성,,False,4.0,6,11.25,2.5,0,1,0,2,0,5,4,0,6,2,7,5,11.25,9.0,1.25,20.8,16.7,-0.219,-0.39,0.667,SU,1.0
2023,66492,김승현,KIA,,False,12.667,10,4.26316,1.66,0,0,0,0,0,7,10,1,11,1,6,6,4.97,7.11,0.7,12.3,17.5,-0.001,0.0,1.267,RP,1.0
2024,66492,김승현,KIA,,False,18.0,15,4.0,1.67,1,0,0,0,0,11,7,0,23,3,12,8,5.5,3.5,1.5699999999999998,12.9,8.2,-0.063,-0.01,1.2,RP,1.0
2010,73248,김승회,두산,,False,40.333,25,4.23967,1.19,0,1,0,2,0,26,10,2,38,6,20,19,5.8,2.23,2.6,15.8,6.1,0.0,,1.613,RP,1.0
2011,73248,김승회,두산,,False,65.333,24,4.68367,1.44,3,3,0,0,3,53,33,6,61,7,39,34,7.3,4.55,1.61,18.8,11.7,0.0,,2.722,SP,1.0
2012,73248,김승회,두산,,False,120.333,24,4.03878,1.22,6,7,0,0,12,62,38,4,109,9,62,54,4.64,2.84,1.63,12.5,7.6,0.0,,5.014,SP,1.0
2013,73248,김승회,롯데,,False,73.0,53,5.30137,1.66,4,7,2,8,0,54,29,3,92,6,49,43,6.66,3.58,1.86,16.0,8.6,0.0,,1.377,RP,1.0
2014,73248,김승회,롯데,,False,56.0,54,3.05357,1.16,1,2,20,4,0,40,18,3,47,4,19,19,6.43,2.89,2.22,17.5,7.9,0.946,1.07,1.037,CL,1.0
2015,73248,김승회,롯데,,False,75.0,39,6.24,1.65,7,3,2,2,0,50,28,4,96,13,52,52,6.0,3.36,1.79,14.6,8.2,-0.81,0.27,1.923,RP,1.0
2016,73248,김승회,SK,,False,24.333,23,5.91781,1.56,1,1,0,4,0,19,9,0,29,4,16,16,7.03,3.33,2.11,18.1,8.6,-0.168,-0.01,1.058,RP,1.0
2017,73248,김승회,두산,,False,69.0,69,4.95652,1.49,7,4,0,11,0,41,17,6,86,6,38,38,5.35,2.22,2.41,13.5,5.6,-0.421,0.3,1.0,RP,1.0
2018,73248,김승회,두산,,False,54.667,55,3.45732,1.41,3,4,3,11,0,34,23,5,54,6,26,21,5.6,3.79,1.48,14.0,9.5,0.36,0.33,0.994,RP,1.0
2019,73248,김승회,두산,,False,58.667,55,3.06818,1.24,3,3,3,7,0,46,16,2,57,1,24,20,7.06,2.45,2.88,18.4,6.4,0.715,0.83,1.067,RP,1.0
2017,67467,김시현,삼성,,False,21.333,17,7.59375,2.06,0,0,0,0,0,16,15,2,29,4,18,18,6.75,6.33,1.07,15.4,14.4,0.353,-0.2,1.255,RP,1.0
2018,67467,김시현,삼성,,False,5.0,4,12.6,2.4,0,0,0,0,0,5,2,2,10,2,7,7,9.0,3.6,2.5,17.2,6.9,0.036,-0.13,1.25,RP,1.0
2019,67467,김시현,삼성,,False,16.333,14,4.40816,1.47,0,0,0,0,0,10,8,1,16,3,9,8,5.51,4.41,1.25,14.1,11.3,-0.062,-0.03,1.167,RP,1.0
2023,67467,김시현,삼성,,False,3.0,2,12.0,2.67,0,0,0,0,0,2,2,0,6,2,5,4,6.0,6.0,1.0,11.8,11.8,-0.018,-0.14,1.5,RP,1.0
2022,68928,김시훈,NC,투수,False,83.333,59,3.24,1.42,4,5,0,11,1,79,43,4,75,7,35,30,8.53,4.64,1.84,21.6,11.8,1.42,1.3,1.412,SP,1.0
2023,68928,김시훈,NC,투수,False,52.667,61,4.44304,1.73,4,3,3,12,0,49,34,1,57,3,32,26,8.37,5.8100000000000005,1.44,20.0,13.9,-0.327,0.0,0.863,RP,1.0
2024,68928,김시훈,NC,투수,False,107.333,39,4.52795,1.5699999999999998,3,4,0,5,3,74,59,3,110,7,60,54,6.2,4.95,1.25,15.5,12.4,0.519,1.42,2.752,SP,1.0
2025,68928,김시훈,KIA,투수,False,25.667,24,8.064935064935066,1.6800000000000002,1,0,0,1,0,18,10,0,33,7,25,23,6.31,3.51,1.8,15.3,8.5,-0.261,-0.66,1.069,RP,1.0
2026,68928,김시훈,KIA,투수,False,4.0,3,6.75,1.75,0,0,0,0,0,3,2,1,5,0,3,3,6.75,4.5,1.5,15.0,10.0,-0.024,0.0,1.333,RP,0.757
2024,54368,김연주,키움,투수,False,31.333,34,6.60638,1.63,1,1,0,1,0,18,17,5,34,5,24,23,5.17,4.88,1.06,12.2,11.5,-0.766,-0.27,0.922,RP,1.0
2025,54368,김연주,키움,투수,False,51.667,20,6.619354838709677,1.78,1,3,0,0,0,28,25,6,67,10,40,38,4.88,4.35,1.12,11.2,10.0,-0.455,-0.64,2.583,RP,1.0
2026,54368,김연주,키움,투수,False,3.333,2,16.2,2.7,0,1,0,0,0,3,4,1,5,0,7,6,8.1,10.8,0.75,14.3,19.0,-0.164,-0.22,1.666,RP,0.757
2019,68900,김영규,NC,투수,False,66.333,30,5.29146,1.7,5,4,0,1,2,46,31,6,82,7,40,39,6.24,4.21,1.48,15.0,10.1,0.217,0.06,2.211,SP,1.0
2020,68900,김영규,NC,투수,False,67.667,20,5.4532,1.43,2,2,0,1,4,55,14,2,83,12,47,41,7.32,1.86,3.93,18.6,4.7,-0.596,0.39,3.383,SP,1.0
2021,68900,김영규,NC,투수,False,63.667,37,5.37173,1.52,5,3,0,6,1,42,28,1,69,10,40,38,5.9399999999999995,3.96,1.5,14.7,9.8,0.24,0.19,1.721,SP,1.0
2022,68900,김영규,NC,투수,False,66.0,72,3.40909,1.18,2,7,1,13,0,46,22,7,56,5,26,25,6.27,3.0,2.09,17.1,8.2,0.69,1.14,0.917,RP,1.0
2023,68900,김영규,NC,투수,False,61.667,63,3.06486,1.1,2,4,0,24,0,48,23,1,45,2,22,21,7.01,3.36,2.09,19.4,9.3,1.221,1.45,0.979,SU,1.0
2024,68900,김영규,NC,투수,False,45.667,42,3.15328,1.18,4,2,1,14,0,48,14,1,40,3,19,16,9.46,2.76,3.43,26.2,7.7,1.593,1.4,1.087,SU,1.0
2025,68900,김영규,NC,투수,False,44.0,45,2.863636363636364,1.32,4,3,0,21,0,35,18,3,40,3,17,14,7.16,3.68,1.94,18.5,9.5,1.825,0.98,0.978,SU,1.0
2026,68900,김영규,NC,투수,False,20.667,28,3.919354838709677,1.94,1,2,0,2,0,19,17,1,23,2,9,9,8.27,7.4,1.12,18.3,16.3,-0.226,0.27,0.738,RP,0.757
2025,55167,김영우,LG,투수,False,60.0,66,2.4,1.32,3,2,1,7,0,56,30,3,49,2,17,16,8.4,4.5,1.87,22.0,11.8,0.394,1.58,0.909,RP,1.0
2026,55167,김영우,LG,투수,False,37.0,42,3.6486486486486487,1.41,3,0,0,3,0,29,14,0,38,2,15,15,7.05,3.41,2.07,17.9,8.6,-0.071,0.81,0.881,RP,0.757
2018,68130,김영준,LG,투수,False,20.667,14,4.35484,1.65,2,1,0,0,0,16,15,3,19,3,12,10,6.97,6.53,1.07,16.0,15.0,-0.134,-0.14,1.476,RP,1.0
2022,68130,김영준,LG,투수,False,9.667,2,1.86207,1.24,0,0,0,0,1,7,4,3,8,1,2,2,6.52,3.72,1.75,16.3,9.3,0.369,0.23,4.834,SP,1.0
2023,68130,김영준,LG,투수,False,0.333,1,27.0,6.0,1,0,0,0,0,0,1,0,1,0,1,1,0.0,27.0,0.0,0.0,33.3,-0.019,-0.03,0.333,RP,1.0
2024,68130,김영준,LG,투수,False,15.333,14,8.21739,1.96,1,1,0,0,0,11,9,0,21,2,17,14,6.46,5.28,1.22,14.5,11.8,-0.385,-0.3,1.095,RP,1.0
2023,51097,김영현,KT,투수,False,33.0,31,5.45455,1.52,0,0,1,1,0,35,20,1,30,4,22,20,9.55,5.45,1.75,23.3,13.3,-0.196,-0.15,1.065,RP,1.0
2024,51097,김영현,KT,투수,False,7.333,8,4.90909,2.18,0,0,0,0,0,8,7,1,9,1,6,4,9.82,8.59,1.14,20.5,17.9,0.001,-0.04,0.917,RP,1.0
2010,60764,김용주,한화,,False,2.0,2,40.5,5.5,0,2,0,0,0,1,5,1,6,2,9,9,4.5,22.5,0.2,5.6,27.8,0.0,,1.0,RP,1.0
2013,60764,김용주,한화,,False,7.0,6,3.85714,1.71,0,0,0,0,0,9,4,0,8,0,4,3,11.57,5.14,2.25,27.3,12.1,0.0,,1.167,RP,1.0
2015,60764,김용주,한화,,False,8.0,2,3.38,1.25,1,0,0,0,0,3,6,0,4,0,3,3,3.38,6.75,0.5,9.1,18.2,0.096,0.22,4.0,SP,1.0
2016,60764,김용주,한화,,False,15.667,17,9.76596,2.17,0,2,0,0,0,12,15,0,19,2,18,17,6.89,8.62,0.8,15.2,19.0,-0.574,-0.3,0.922,RP,1.0
2018,60764,김용주,KT,,False,2.0,1,18.0,3.5,0,0,0,0,0,2,2,0,5,1,4,4,9.0,9.0,1.0,15.4,15.4,-0.278,-0.11,2.0,RP,1.0
2018,68453,김용하,삼성,,False,3.0,4,9.0,2.0,0,0,0,0,0,4,4,3,2,0,4,3,12.0,12.0,1.0,21.1,21.1,0.011,-0.06,0.75,RP,1.0
2015,62528,김원중,롯데,투수,False,20.333,15,5.7541,1.77,0,0,0,1,0,20,15,3,21,1,15,13,8.85,6.64,1.33,20.2,15.2,-0.103,0.02,1.356,RP,1.0
2016,62528,김원중,롯데,투수,False,7.667,3,9.3913,1.96,0,1,0,0,0,5,8,0,7,2,8,8,5.87,9.39,0.63,13.5,21.6,-0.343,-0.09,2.556,RP,1.0
2017,62528,김원중,롯데,투수,False,107.333,24,5.70186,1.73,7,8,0,0,8,87,56,10,130,13,71,68,7.3,4.7,1.55,17.2,11.0,0.304,1.38,4.472,SP,1.0
2018,62528,김원중,롯데,투수,True,145.333,30,6.93578,1.72,8,7,0,0,5,137,77,11,173,28,115,112,8.48,4.77,1.78,20.1,11.3,-1.331,0.85,4.844,SP,1.0
2019,62528,김원중,롯데,투수,False,102.333,28,5.62866,1.7,5,10,0,1,6,93,47,6,127,13,75,64,8.18,4.13,1.98,19.2,9.7,-0.924,0.18,3.655,SP,1.0
2020,62528,김원중,롯데,투수,False,59.333,58,3.94382,1.26,5,4,25,0,0,57,23,0,52,8,29,26,8.65,3.49,2.48,22.9,9.2,1.137,1.34,1.023,CL,1.0
2021,62528,김원중,롯데,투수,False,62.667,61,3.59043,1.24,4,4,35,0,0,64,28,3,50,6,26,25,9.19,4.02,2.29,23.9,10.4,3.156,1.53,1.027,CL,1.0
2022,62528,김원중,롯데,투수,False,43.0,43,3.97674,1.3,2,3,17,2,0,60,16,0,40,4,21,19,12.56,3.35,3.75,32.1,8.6,1.165,0.91,1.0,CL,1.0
2023,62528,김원중,롯데,투수,False,63.667,63,2.96859,1.19,5,6,30,0,0,82,25,5,51,2,24,21,11.59,3.53,3.28,30.9,9.4,1.475,2.1,1.011,CL,1.0
2024,62528,김원중,롯데,투수,False,63.333,56,3.55263,1.42,3,6,25,0,0,68,31,1,59,4,27,25,9.66,4.41,2.19,24.5,11.2,2.472,2.1,1.131,CL,1.0
2025,62528,김원중,롯데,투수,False,60.667,53,2.6703296703296706,1.5,4,3,32,0,0,69,33,2,58,4,21,18,10.24,4.9,2.09,25.4,12.1,2.171,2.03,1.145,CL,1.0
2026,62528,김원중,롯데,투수,False,39.333,46,4.3474576271186445,1.47,1,4,5,12,0,27,18,4,40,2,24,19,6.18,4.12,1.5,15.1,10.1,-0.259,0.43,0.855,SU,0.757
2010,91848,김원형,SK,,False,2.333,3,0.0,1.29,0,0,0,0,0,0,0,0,3,0,2,0,0.0,0.0,99.99,0.0,0.0,0.0,,0.778,RP,1.0
2023,53262,김유성,두산,투수,False,6.333,7,9.94737,2.84,0,0,0,0,0,6,12,0,6,2,7,7,8.53,17.05,0.5,15.8,31.6,-0.246,-0.25,0.905,RP,1.0
2024,53262,김유성,두산,투수,False,28.0,17,6.42857,1.86,1,2,0,0,0,29,24,4,28,1,23,20,9.32,7.71,1.21,20.9,17.3,-0.087,-0.06,1.647,RP,1.0
2025,53262,김유성,두산,투수,False,17.333,7,8.826923076923077,1.79,0,2,0,0,0,22,14,4,17,3,17,17,11.42,7.27,1.5699999999999998,25.9,16.5,-0.341,-0.37,2.476,RP,1.0
2018,68659,김유신,KIA,,False,13.0,10,9.69231,1.46,0,0,0,0,0,6,6,1,13,0,14,14,4.15,4.15,1.0,10.5,10.5,-0.34,-0.17,1.3,RP,1.0
2021,68659,김유신,KIA,,False,54.333,15,7.61963,1.8,2,6,0,0,0,29,35,2,63,11,47,46,4.8,5.8,0.83,11.6,14.1,-0.894,-0.81,3.622,SP,1.0
2022,68659,김유신,KIA,,False,14.667,10,6.13636,1.7,1,0,0,0,0,9,16,0,9,3,11,10,5.52,9.82,0.56,12.9,22.9,0.188,-0.32,1.467,RP,1.0
2023,68659,김유신,KIA,,False,30.333,27,5.63736,1.75,0,1,0,2,0,12,19,3,34,2,19,19,3.56,5.64,0.63,8.5,13.5,-0.403,-0.24,1.123,RP,1.0
2014,64596,김유영,롯데,투수,False,7.667,5,5.86957,1.96,0,0,0,0,0,2,7,0,8,0,5,5,2.35,8.22,0.29,5.4,18.9,-0.003,0.01,1.533,RP,1.0
2016,64596,김유영,롯데,투수,False,34.333,46,6.5534,1.95,0,1,1,3,0,31,30,0,37,3,32,25,8.13,7.86,1.03,18.1,17.5,-1.279,-0.38,0.746,RP,1.0
2017,64596,김유영,롯데,투수,False,48.667,40,4.43836,1.58,0,0,0,2,0,41,25,3,52,5,24,24,7.58,4.62,1.64,18.9,11.5,-0.448,0.75,1.217,RP,1.0
2020,64596,김유영,롯데,투수,False,7.333,12,4.90909,1.5,0,0,0,0,0,5,7,0,4,0,4,4,6.14,8.59,0.71,16.1,22.6,-0.158,0.09,0.611,RP,1.0
2021,64596,김유영,롯데,투수,False,18.667,26,7.23214,1.88,1,0,0,0,0,17,14,2,21,1,16,15,8.2,6.75,1.21,18.5,15.2,-0.076,-0.21,0.718,RP,1.0
2022,64596,김유영,롯데,투수,False,51.0,68,5.64706,2.02,6,2,0,13,0,44,30,3,73,4,34,32,7.76,5.29,1.47,17.3,11.8,0.039,-0.16,0.75,RP,1.0
2024,64596,김유영,LG,투수,False,47.667,53,3.77622,1.38,1,2,1,6,0,42,16,4,50,2,27,20,7.93,3.02,2.63,19.8,7.5,0.609,0.61,0.899,RP,1.0
2025,64596,김유영,LG,투수,False,4.333,6,12.461538461538462,2.77,0,0,0,0,0,5,4,1,8,0,6,6,10.38,8.31,1.25,19.2,15.4,-0.08,-0.17,0.722,RP,1.0
2026,64596,김유영,LG,투수,False,5.0,5,1.8,1.4,0,0,0,0,0,8,4,0,3,0,1,1,14.4,7.2,2.0,38.1,19.0,0.025,0.2,1.0,RP,0.757
2013,62648,김윤동,KIA,,False,0.0,1,0.0,0.0,0,0,0,0,0,0,2,0,3,0,2,2,0.0,0.0,0.0,0.0,40.0,0.0,,0.0,RP,1.0
2016,62648,김윤동,KIA,,False,53.0,31,5.43396,1.62,0,3,2,2,0,47,38,3,48,9,33,32,7.98,6.45,1.24,19.4,15.7,0.184,0.15,1.71,RP,1.0
2017,62648,김윤동,KIA,,False,80.333,65,4.59336,1.46,7,4,11,6,0,66,47,5,70,10,41,41,7.39,5.27,1.4,18.5,13.2,0.67,0.91,1.236,RP,1.0
2018,62648,김윤동,KIA,,False,82.667,64,3.70161,1.51,7,6,4,18,0,79,54,2,71,9,39,34,8.6,5.88,1.46,21.4,14.6,0.056,1.24,1.292,SU,1.0
2019,62648,김윤동,KIA,,False,11.0,11,6.54545,2.09,1,2,4,0,0,12,11,0,12,1,8,8,9.82,9.0,1.09,21.8,20.0,0.382,-0.24,1.0,CL,1.0
2020,50157,김윤식,LG,,False,67.667,23,6.25123,1.64,2,4,0,2,1,38,24,6,87,7,50,47,5.05,3.19,1.58,12.3,7.8,-0.302,-0.48,2.942,SP,1.0
2021,50157,김윤식,LG,,False,66.667,35,4.46,1.51,7,4,0,1,0,56,36,6,65,3,37,33,7.56,4.86,1.56,18.6,12.0,0.192,0.56,1.905,RP,1.0
2022,50157,김윤식,LG,,False,114.333,23,3.30612,1.33,8,5,0,0,11,81,27,1,125,5,46,42,6.38,2.13,3.0,16.8,5.6,2.483,2.57,4.971,SP,1.0
2023,50157,김윤식,LG,,False,74.667,17,4.21875,1.49,6,4,0,0,2,42,25,3,86,4,35,35,5.06,3.01,1.6800000000000002,13.1,7.8,1.381,1.09,4.392,SP,1.0
2024,50157,김윤식,LG,,False,3.0,1,12.0,2.67,0,0,0,0,0,1,1,0,7,0,4,4,3.0,3.0,1.0,5.9,5.9,-0.227,-0.07,3.0,SP,1.0
2026,50157,김윤식,LG,,False,29.0,27,4.96551724137931,1.59,0,1,0,5,0,17,21,3,25,2,16,16,5.28,6.52,0.81,13.1,16.2,-0.2,0.13,1.074,RP,0.757
2024,54319,김윤하,키움,투수,False,79.0,19,6.03797,1.62,1,6,0,2,4,43,35,4,93,6,57,53,4.9,3.99,1.23,11.8,9.6,0.172,0.33,4.158,SP,1.0
2025,54319,김윤하,키움,투수,False,88.0,19,6.136363636363637,1.78,0,12,0,0,4,52,44,3,113,16,76,60,5.32,4.5,1.18,12.3,10.4,-1.51,-1.25,4.632,SP,1.0
2026,54319,김윤하,키움,투수,False,26.333,9,6.493670886075949,1.71,1,2,0,0,0,20,13,0,32,7,22,19,6.84,4.44,1.54,16.3,10.6,-0.021,-0.29,2.926,RP,0.757
2016,64396,김윤환,넥센,,False,1.0,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,9.0,0.0,0.0,25.0,0.002,0.02,1.0,RP,1.0
2021,69367,김인범,키움,투수,False,5.333,3,0.0,0.75,0,0,0,0,0,5,1,0,3,0,0,0,8.44,1.69,5.0,25.0,5.0,0.044,0.21,1.778,RP,1.0
2024,69367,김인범,키움,투수,False,63.333,19,5.4,1.67,2,7,0,0,0,27,31,8,75,9,40,38,3.84,4.41,0.87,9.1,10.4,-0.388,0.16,3.333,SP,1.0
2010,78543,김일엽,롯데,,False,44.333,36,4.87218,1.31,2,1,3,3,0,33,12,3,46,9,24,24,6.7,2.44,2.75,17.4,6.3,0.0,,1.231,RP,1.0
2011,78543,김일엽,롯데,,False,28.667,23,4.7093,1.47,1,0,0,1,0,21,11,3,31,3,15,15,6.59,3.45,1.91,16.5,8.7,0.0,,1.246,RP,1.0
2012,78543,김일엽,롯데,,False,0.667,1,40.5,7.5,0,0,0,0,0,0,1,0,4,0,4,3,0.0,13.5,0.0,0.0,14.3,0.0,,0.667,RP,1.0
2013,78543,김일엽,한화,,False,6.667,7,9.45,2.25,0,0,0,0,0,2,6,3,9,0,7,7,2.7,8.1,0.33,5.3,15.8,0.0,,0.952,RP,1.0
2018,68908,김재균,NC,,False,5.667,4,3.17647,2.12,0,0,0,0,0,4,9,0,3,0,3,2,6.35,14.29,0.44,13.8,31.0,-0.116,0.01,1.417,RP,1.0
2020,64580,김재열,KIA,투수,False,17.333,14,7.26923,2.02,0,1,0,2,0,13,12,3,23,3,16,14,6.75,6.23,1.08,14.6,13.5,0.137,-0.32,1.238,RP,1.0
2021,64580,김재열,KIA,투수,False,32.667,24,3.85714,1.41,1,0,0,0,0,18,18,4,28,4,18,14,4.96,4.96,1.0,11.8,11.8,-0.191,-0.05,1.361,RP,1.0
2022,64580,김재열,KIA,투수,False,43.0,47,6.06977,1.56,1,2,1,5,0,36,22,1,45,5,33,29,7.53,4.6,1.64,18.7,11.4,0.407,-0.49,0.915,RP,1.0
2023,64580,김재열,KIA,투수,False,11.667,9,13.1143,2.83,0,0,0,0,0,9,13,0,20,2,17,17,6.9399999999999995,10.03,0.69,12.9,18.6,-0.324,-0.6,1.296,RP,1.0
2024,64580,김재열,NC,투수,False,68.667,69,2.49029,1.27,1,5,2,12,0,67,29,0,58,4,20,19,8.78,3.8,2.31,23.6,10.2,-0.479,2.33,0.995,RP,1.0
2025,64580,김재열,NC,투수,False,21.667,22,6.230769230769231,2.22,0,0,0,2,0,16,16,1,32,5,16,15,6.65,6.65,1.0,14.4,14.4,-0.706,-0.36,0.985,RP,1.0
2016,66741,김재영,한화,,False,11.333,11,10.3235,2.29,0,0,0,0,0,4,8,3,18,2,14,13,3.18,6.35,0.5,6.9,13.8,-0.094,-0.26,1.03,RP,1.0
2017,66741,김재영,한화,,False,85.333,20,4.53516,1.41,5,7,0,0,7,51,19,12,101,9,51,43,5.38,2.0,2.68,13.8,5.1,-0.273,1.16,4.267,SP,1.0
2018,66741,김재영,한화,,False,111.333,29,5.65868,1.55,6,4,0,1,6,56,37,12,136,15,74,70,4.53,2.99,1.51,11.1,7.4,0.261,1.28,3.839,SP,1.0
2019,66741,김재영,한화,,False,8.333,5,12.96,2.04,0,0,0,0,0,4,3,2,14,1,12,12,4.32,3.24,1.33,9.8,7.3,-0.328,-0.45,1.667,RP,1.0
2022,66741,김재영,한화,,False,30.0,30,5.4,1.5,0,2,0,1,0,16,12,7,33,1,25,18,4.8,3.6,1.33,11.7,8.8,-0.202,-0.35,1.0,RP,1.0
2023,66741,김재영,한화,,False,8.0,6,10.125,1.88,0,0,0,0,0,5,2,2,13,2,9,9,5.63,2.25,2.5,12.5,5.0,-0.275,-0.25,1.333,RP,1.0
2020,67391,김재웅,키움,투수,False,59.667,43,4.67598,1.46,1,4,0,2,0,51,23,2,64,7,36,31,7.69,3.47,2.22,19.8,8.9,-0.784,0.31,1.388,RP,1.0
2021,67391,김재웅,키움,투수,False,53.333,51,3.54375,1.54,0,1,1,11,0,47,33,1,49,5,24,21,7.93,5.57,1.42,19.3,13.6,1.719,0.58,1.046,RP,1.0
2022,67391,김재웅,키움,투수,False,62.667,65,2.01064,1.09,3,2,13,27,0,56,29,4,39,4,14,14,8.04,4.16,1.93,22.0,11.4,4.642,2.04,0.964,SU,1.0
2023,67391,김재웅,키움,투수,False,59.667,67,4.22346,1.34,2,3,6,18,0,46,24,0,56,2,29,28,6.9399999999999995,3.62,1.92,18.4,9.6,2.274,0.81,0.891,SU,1.0
2024,67391,김재웅,키움,투수,False,23.667,26,3.42254,1.52,0,2,0,7,0,19,12,1,24,2,9,9,7.23,4.5600000000000005,1.58,17.8,11.2,0.696,0.55,0.91,SU,1.0
2026,67391,김재웅,키움,투수,False,20.333,19,9.295081967213116,1.77,0,2,5,2,0,7,9,0,27,4,21,21,3.1,3.98,0.78,7.2,9.3,-0.615,-0.68,1.07,RP,0.757
2025,55043,김재원,KT,투수,False,4.333,4,10.384615384615383,2.54,0,0,0,0,0,4,8,1,3,0,5,5,8.31,16.62,0.5,16.7,33.3,-0.051,-0.1,1.083,RP,1.0
2015,65062,김재윤,KT,투수,False,44.667,42,4.23134,1.3,1,2,0,6,0,70,12,1,46,3,23,21,14.1,2.42,5.83,37.2,6.4,-0.435,1.46,1.064,RP,1.0
2016,65062,김재윤,KT,투수,False,54.333,52,4.96933,1.4,8,1,14,1,0,73,15,1,61,6,31,30,12.09,2.48,4.87,31.1,6.4,1.545,1.28,1.045,RP,1.0
2017,65062,김재윤,KT,투수,False,37.333,41,5.78571,1.39,3,5,15,0,0,31,11,1,41,1,25,24,7.47,2.65,2.82,19.3,6.8,0.005,0.75,0.911,CL,1.0
2018,65062,김재윤,KT,투수,False,61.0,62,4.57377,1.49,7,5,15,0,0,66,15,1,76,11,34,31,9.74,2.21,4.4,24.4,5.5,0.402,1.25,0.984,RP,1.0
2019,65062,김재윤,KT,투수,False,47.667,43,2.26573,0.82,2,2,7,9,0,42,12,1,27,4,13,12,7.93,2.27,3.5,23.7,6.8,2.619,1.35,1.109,RP,1.0
2020,65062,김재윤,KT,투수,False,60.667,56,3.26374,1.27,5,3,21,1,0,58,15,0,62,7,23,22,8.6,2.23,3.87,22.7,5.9,1.786,1.92,1.083,CL,1.0
2021,65062,김재윤,KT,투수,False,67.0,65,2.41791,1.21,4,3,32,0,0,64,24,0,57,5,19,18,8.6,3.22,2.67,23.3,8.7,2.489,2.45,1.031,CL,1.0
2022,65062,김재윤,KT,투수,False,66.333,61,3.25628,1.01,9,7,33,0,0,78,21,0,46,5,26,24,10.58,2.85,3.71,29.2,7.9,2.12,2.15,1.087,CL,1.0
2023,65062,김재윤,KT,투수,False,65.667,59,2.60406,1.02,5,5,32,0,0,60,13,1,54,2,21,19,8.22,1.78,4.62,22.9,5.0,3.743,2.53,1.113,CL,1.0
2024,65062,김재윤,삼성,투수,False,66.0,65,4.09091,1.26,4,8,11,25,0,51,25,1,58,13,37,30,6.95,3.41,2.04,18.0,8.8,1.249,0.55,1.015,SU,1.0
