ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,pitcherEra,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherGameCount,pitcherInning,pitcherKk,pitcherHit,pitcherHr,pitcherR,pitcherEr,pitcherBb,pitcherHp,pitcherWra,pitcherQs,pitcherWhip,pitcherInningKk,pitcherInningBb,pitcherKkBbRate,pitcherPaKkRate,pitcherPaBbRate,pitcherWpa,pitcherWar,pitcherStart,pitcherPitchCount,isQualified,isKoreanPlayer,collect_year,sort_source
,55646,김정엽,https://sports-phinf.pstatic.net/player/kbo/default/55646.png,96,185,46,N,Y,35201426,"{""name"":""김정엽"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/e99affe9-8115-4661-bb14-41646bb0cfaa.png"",""teamName"":""KIA 타이거즈"",""teamCode"":""HT"",""position"":""투수"",""backNumber"":""46"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김정엽"",""os"":35201426}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,18.0,0,0,0,0,2,1,0,0,0,2,2,1,1,0.0,0,1.0,0.0,9.0,0.0,0.0,20.0,-0.013,-0.06,,,False,False,2025,pitcherWar
,54900,임상현,https://sports-phinf.pstatic.net/player/kbo/default/54900.png,89,184,28,N,Y,33719218,"{""name"":""임상현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/680ce9ac-b557-4f53-8f36-b71e26728a19.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""임상현"",""os"":33719218}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2025,2025,kbaseball,kbo,,,18.0,0,0,0,0,1,1,0,2,0,2,2,3,0,0.0,0,5.0,0.0,27.0,0.0,0.0,37.5,-0.035,-0.07,,,False,False,2025,pitcherWar
,55632,이성원,https://sports-phinf.pstatic.net/player/kbo/default/55632.png,90,184,58,N,Y,35201506,"{""name"":""이성원"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/d89e73d6-df13-45ca-a65a-986c100ca42b.png"",""teamName"":""KIA 타이거즈"",""teamCode"":""HT"",""position"":""투수"",""backNumber"":""58"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""이성원"",""os"":35201506}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,16.875,0,0,0,0,4,2 2/3,3,3,0,7,5,4,3,0.0,0,2.63,10.13,13.5,0.75,15.8,21.1,-0.035,-0.18,,,False,False,2025,pitcherWar
,55377,정세영,https://sports-phinf.pstatic.net/player/kbo/default/55377.png,82,177,64,N,Y,35196655,"{""name"":""정세영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/a16f1809-a12d-470f-98d7-ec7a303dfee5.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":""투수"",""backNumber"":""64"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""정세영"",""os"":35196655}",Y,WO,키움,키움,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2025,2025,kbaseball,kbo,,,16.875,0,1,0,0,4,2 2/3,2,9,0,6,5,4,0,0.0,0,4.88,6.75,13.5,0.5,9.1,18.2,-0.286,-0.2,,,False,False,2025,pitcherWar
,67048,이정현,https://sports-phinf.pstatic.net/player/kbo/default/67048.png,93,188,21,N,Y,4024006,"{""name"":""이정현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/9eb80cef-0790-48d9-93a2-e23577efab3d.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""투수"",""backNumber"":""21"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""이정현"",""os"":4024006}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2025,2025,kbaseball,kbo,,,16.615384615384617,0,0,0,0,6,4 1/3,3,9,0,8,8,4,1,0.0,0,3.0,6.23,8.31,0.75,11.1,14.8,-0.044,-0.16,,,False,False,2025,pitcherWar
,54702,원종혁,https://sports-phinf.pstatic.net/player/kbo/default/54702.png,92,184,48,N,Y,33770037,"{""name"":""원종혁"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/86365ab3-0951-44d2-9073-daee1b2e79f3.png"",""teamName"":""한화 이글스"",""teamCode"":""HH"",""position"":""투수"",""backNumber"":""48"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""원종혁"",""os"":33770037}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2025,2025,kbaseball,kbo,,,16.2,0,0,0,0,2,1 2/3,1,3,1,3,3,2,0,0.0,0,3.0,5.4,10.8,0.5,10.0,20.0,-0.015,-0.1,,,False,False,2025,pitcherWar
,51058,한차현,https://sports-phinf.pstatic.net/player/kbo/default/51058.png,80,180,2,N,Y,17709378,"{""name"":""한차현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/d4901b31-9d4d-4122-a3da-4a937ee5d105.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""투수"",""backNumber"":""2"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""한차현"",""os"":17709378}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2025,2025,kbaseball,kbo,,,16.2,0,0,0,0,2,1 2/3,1,4,0,3,3,2,0,0.0,0,3.6,5.4,10.8,0.5,9.1,18.2,-0.006,-0.07,,,False,False,2025,pitcherWar
,54363,손현기,https://sports-phinf.pstatic.net/player/kbo/default/54363.png,88,188,63,N,Y,33744161,"{""name"":""손현기"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/9b2c9237-f437-4e55-acb3-51d46a23de57.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":""투수"",""backNumber"":""63"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""손현기"",""os"":33744161}",Y,WO,키움,키움,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2025,2025,kbaseball,kbo,,,15.0,0,0,0,0,2,3,1,4,1,5,5,6,1,0.0,0,3.33,3.0,18.0,0.17,5.6,33.3,-0.151,-0.24,,,False,False,2025,pitcherWar
,55568,박세현,https://sports-phinf.pstatic.net/player/kbo/default/55568.png,88,183,135,N,Y,35197117,"{""name"":""박세현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/21799dc5-208c-4b3c-be3d-41c6b2c5672f.png"",""teamName"":""롯데 자이언츠"",""teamCode"":""LT"",""position"":""투수"",""backNumber"":""135"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""박세현"",""os"":35197117}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2025,2025,kbaseball,kbo,,,14.727272727272727,0,0,0,0,3,3 2/3,4,8,1,6,6,1,1,0.0,0,2.45,9.82,2.45,4.0,19.0,4.8,-0.389,-0.24,,,False,False,2025,pitcherWar
,53609,곽도규,https://sports-phinf.pstatic.net/player/kbo/default/53609.png,90,185,0,N,Y,28848760,"{""name"":""곽도규"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/43222811-f31d-40d0-9d84-3a2cb86a2310.png"",""teamName"":""KIA 타이거즈"",""teamCode"":""HT"",""position"":""투수"",""backNumber"":""0"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""곽도규"",""os"":28848760}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,13.5,0,0,0,3,9,4,5,3,0,6,6,6,2,0.0,0,2.25,11.25,13.5,0.83,22.7,27.3,-0.113,-0.31,,,False,False,2025,pitcherWar
