player_name,player_id,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,birth_year,birth_year_source
박석민,74465.0,2016,31,3B,4,96.0,24.0,NC,1985,위키데이터
정우람,74857.0,2016,31,P,4,84.0,21.0,한화,1985,위키데이터
김태균,71752.0,2016,34,1B,4,84.0,21.0,한화,1982,위키데이터
이승엽,95436.0,2016,40,1B,2,36.0,18.0,삼성,1976,위키데이터
유한준,74339.0,2016,35,OF,4,60.0,15.0,KT,1981,위키데이터
손승락,75321.0,2016,34,P,4,60.0,15.0,롯데,1982,위키데이터
이동현,71118.0,2016,33,P,3,30.0,10.0,LG,1983,위키데이터
송승준,77591.0,2016,36,P,4,40.0,10.0,롯데,1980,위키데이터
오재원,77248.0,2016,31,2B,4,38.0,9.5,두산,1985,위키데이터
윤길현,72862.0,2016,33,P,4,38.0,9.5,롯데,1983,위키데이터
이범호,70756.0,2016,35,3B,4,36.0,9.0,KIA,1981,위키데이터
이택근,73342.0,2016,36,OF,4,35.0,8.75,넥센,1980,위키데이터
정상호,71842.0,2016,34,C,4,32.0,8.0,LG,1982,위키데이터
박정권,74846.0,2016,35,1B,4,30.0,7.5,SK,1981,위키데이터
조인성,98144.0,2016,41,C,2,10.0,5.0,한화,1975,위키데이터
김상현,70646.0,2016,36,OF,4,17.0,4.25,KT,1980,위키데이터
채병용,71845.0,2016,34,P,3,10.5,3.5,SK,1982,위키데이터
심수창,74167.0,2016,35,P,4,13.0,3.25,한화,1981,위키데이터
마정길,72749.0,2016,37,P,2,6.2,3.1,넥센,1979,위키데이터
박재상,71857.0,2016,34,OF,2,5.5,2.75,SK,1982,위키데이터
고영민,72214.0,2016,32,2B,2,5.0,2.5,두산,1984,위키데이터
이대호,71564.0,2017,35,1B,4,150.0,37.5,롯데,1982,위키데이터
최형우,72443.0,2017,34,OF,4,100.0,25.0,KIA,1983,위키데이터
차우찬,76455.0,2017,30,P,4,95.0,23.75,LG,1987,위키데이터
양현종,77637.0,2017,29,P,1,22.5,22.5,KIA,1988,위키데이터
김광현,77829.0,2017,29,P,4,85.0,21.25,SK,1988,위키데이터
우규민,73117.0,2017,32,P,4,65.0,16.25,삼성,1985,위키데이터
김재호,74206.0,2017,32,SS,4,50.0,12.5,두산,1985,위키데이터
나지완,78629.0,2017,32,OF,4,40.0,10.0,KIA,1985,위키데이터
이현승,76329.0,2017,34,P,3,27.0,9.0,두산,1983,위키데이터
봉중근,77147.0,2017,37,P,2,15.0,7.5,LG,1980,위키데이터
이진영,99810.0,2017,37,OF,2,15.0,7.5,KT,1980,위키데이터
정성훈,99606.0,2017,37,3B,1,7.0,7.0,LG,1980,위키데이터
이원석,75566.0,2017,31,3B,4,27.0,6.75,삼성,1986,위키데이터
조영훈,75441.0,2017,35,1B,2,4.5,2.25,NC,1982,위키데이터
김현수,76290.0,2018,30,OF,4,115.0,28.75,LG,1988,원본
손아섭,77532.0,2018,32,OF,4,98.0,24.5,롯데,1986,원본
