ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,hitterHra,hitterRbi,hitterRun,hitterHr,hitterHit,hitterH2,hitterH3,hitterGameCount,hitterAb,hitterSb,hitterCs,hitterBb,hitterHp,hitterKk,hitterGd,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterWpa,hitterWar,isQualified,isKoreanPlayer,collect_year,sort_source
,61700,강경학,https://sports-phinf.pstatic.net/player/kbo/default/61700.png,72,180,14,N,Y,188739.0,"{""name"":""강경학"",""image"":""https://ssl.pstatic.net/sstatic/people/79/202203312026177081.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":""Kyung Hak Kang"",""keyword"":""강경학"",""os"":188739}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2572347266881029,27,50,2,80,7,4,120,311,4,,40,5,58,,0.348,0.325,0.673,0.068,0.307,0.306,0.0,-1.325,0.0,False,False,2015,hitterWar
,74215,윤석민,https://sports-phinf.pstatic.net/player/kbo/default/74215.png,88,180,5,Y,Y,124115.0,"{""name"":""윤석민"",""image"":""https://ssl.pstatic.net/sstatic/people/144/202003311547379871.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""윤석민"",""os"":124115}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2936288088642659,71,54,14,106,24,1,108,361,3,,37,8,62,,0.366,0.482,0.848,0.188,0.315,0.375,0.0,1.041,0.0,False,False,2015,hitterHr
,75334,오재일,https://sports-phinf.pstatic.net/player/kbo/default/75334.png,95,187,36,Y,Y,124087.0,"{""name"":""오재일"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/26e29790-67ed-4c5f-b26a-2667d0f125cf.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""오재일"",""os"":124087}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2888888888888888,36,33,14,52,11,1,66,180,0,,28,2,49,,0.387,0.594,0.981,0.305,0.319,0.421,0.0,1.164,0.0,False,False,2015,hitterHr
,79365,박동원,https://sports-phinf.pstatic.net/player/kbo/default/79365.png,92,178,27,N,Y,165271.0,"{""name"":""박동원"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/ebd96e3c-45bd-4399-ae17-2c768e6cfa69.png"",""teamName"":""LG 트윈스"",""teamCode"":""LG"",""position"":""포수"",""backNumber"":""27"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""박동원"",""os"":165271}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2664907651715039,61,47,14,101,12,1,127,379,0,,37,9,93,,0.339,0.414,0.753,0.1479999999999999,0.311,0.335,0.0,0.055,0.0,False,False,2015,hitterHr
,79705,김회성,https://sports-phinf.pstatic.net/player/kbo/default/79705.png,92,190,24,Y,Y,162572.0,"{""name"":""김회성"",""image"":""https://ssl.pstatic.net/sstatic/people/83/202003311702532751.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""스포츠인"",""전 야구선수""],""viewName"":"""",""keyword"":""김회성"",""os"":162572}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2088888888888889,35,36,16,47,10,2,83,225,2,,28,10,58,,0.321,0.484,0.805,0.275,0.203,0.341,0.0,-1.434,0.0,False,False,2015,hitterHr
,75847,최정,https://sports-phinf.pstatic.net/player/kbo/default/75847.png,90,180,14,N,Y,123824.0,"{""name"":""최정"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/f39d4bd6-58f4-4f0b-8b46-bb9121ce7d5a.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""내야수"",""backNumber"":""14"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""최정"",""os"":123824}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2945454545454545,58,43,17,81,17,0,81,275,5,,46,5,78,,0.401,0.542,0.943,0.247,0.35,0.402,0.0,0.829,0.0,False,False,2015,hitterHr
,74729,최진행,https://sports-phinf.pstatic.net/player/kbo/default/74729.png,100,188,25,Y,Y,98853.0,"{""name"":""최진행"",""image"":""https://ssl.pstatic.net/sstatic/people/184/202003301416546591.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구감독"",""전 야구선수""],""viewName"":"""",""keyword"":""최진행"",""os"":98853}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2912912912912913,64,55,18,97,17,0,109,333,0,,65,4,101,,0.41,0.505,0.915,0.214,0.364,0.406,0.0,1.76,0.0,False,False,2015,hitterHr
,70410,김주찬,https://sports-phinf.pstatic.net/player/kbo/default/70410.png,94,183,16,Y,Y,96799.0,"{""name"":""김주찬"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/e31ef30d-9bbe-4d86-a5e4-bdd6b711c5c9.png"",""teamName"":""KIA 타이거즈"",""teamCode"":""HT"",""position"":"""",""backNumber"":""76"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""김주찬"",""os"":96799}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.3273273273273273,62,66,18,109,23,2,98,333,8,,23,12,58,,0.383,0.571,0.954,0.2439999999999999,0.343,0.405,0.0,0.942,0.0,False,False,2015,hitterHr
1.0,78122,김태군,https://sports-phinf.pstatic.net/player/kbo/default/78122.png,92,182,42,N,Y,167861.0,"{""name"":""김태군"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/cd99828f-a63f-48e5-973a-1be014db17d2.png"",""teamName"":""KIA 타이거즈"",""teamCode"":""HT"",""position"":""포수"",""backNumber"":""42"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김태군"",""os"":167861}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2541567695961995,52,45,6,107,24,0,144,421,1,,25,10,77,,0.307,0.354,0.661,0.0999999999999999,0.293,0.297,0.0,-1.99,0.0,True,False,2015,hitterWrcPlus
50.0,73306,지석훈,https://sports-phinf.pstatic.net/player/kbo/default/73306.png,74,181,10,Y,Y,96904.0,"{""name"":""지석훈"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/47c73b2c-ced1-444d-a5df-e519f9961633.png"",""teamName"":""NC 다이노스"",""teamCode"":""NC"",""position"":"""",""backNumber"":""80"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""지석훈"",""os"":96904}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2015,2015,kbaseball,kbo,,,0.2674698795180723,46,53,11,111,15,0,137,415,4,,23,16,85,,0.328,0.383,0.711,0.1159999999999999,0.311,0.317,0.0,0.079,0.0,True,False,2015,hitterOps
