player_id,player_name,year,award
76100,이병규,1999,GG
95436,이승엽,1999,GG
51230,김동주,2000,GG
92809,박경완,2000,GG
96307,박진만,2000,GG
96761,송지만,2000,GG
76100,이병규,2000,GG
95436,이승엽,2000,GG
96307,박진만,2001,GG
94126,신윤호,2001,GG
76100,이병규,2001,GG
95436,이승엽,2001,GG
99222,홍성흔,2001,GG
96761,송지만,2002,GG
95436,이승엽,2002,GG
97202,진갑용,2002,GG
51230,김동주,2003,GG
95436,이승엽,2003,GG
76461,김기태,2004,GG
96307,박진만,2004,GG
71432,박한이,2004,GG
70425,배영수,2004,GG
76100,이병규,2004,GG
99222,홍성흔,2004,GG
76869,김재현,2005,GG
71752,김태균,2005,GG
97571,손민한,2005,GG
73213,손시헌,2005,GG
70756,이범호,2005,GG
76100,이병규,2005,GG
97202,진갑용,2005,GG
96307,박진만,2006,GG
71432,박한이,2006,GG
71564,이대호,2006,GG
70756,이범호,2006,GG
74163,이용규,2006,GG
73342,이택근,2006,GG
75808,정근우,2006,GG
97202,진갑용,2006,GG
72214,고영민,2007,GG
51230,김동주,2007,GG
92809,박경완,2007,GG
96307,박진만,2007,GG
73153,이대형,2007,GG
71564,이대호,2007,GG
73339,이종욱,2007,GG
68103,가르시아,2008,GG
74540,강민호,2008,GG
77829,김광현,2008,GG
51230,김동주,2008,GG
71752,김태균,2008,GG
76290,김현수,2008,GG
70553,박기혁,2008,GG
73339,이종욱,2008,GG
99543,조성환,2008,GG
99222,홍성흔,2008,GG
70646,김상현,2009,GG
70612,김상훈,2009,GG
76290,김현수,2009,GG
72133,박용택,2009,GG
73213,손시헌,2009,GG
73342,이택근,2009,GG
75808,정근우,2009,GG
77623,최희섭,2009,GG
99222,홍성흔,2009,GG
76325,강정호,2010,GG
71837,김강민,2010,GG
76290,김현수,2010,GG
76715,류현진,2010,GG
71564,이대호,2010,GG
73339,이종욱,2010,GG
99543,조성환,2010,GG
98144,조인성,2010,GG
71552,최준석,2010,GG
99222,홍성흔,2010,GG
74540,강민호,2011,GG
77532,손아섭,2011,GG
79608,안치홍,2011,GG
75620,윤석민,2011,GG
72860,이대수,2011,GG
71564,이대호,2011,GG
74163,이용규,2011,GG
75847,최정,2011,GG
72443,최형우,2011,GG
99222,홍성흔,2011,GG
74540,강민호,2012,GG
76325,강정호,2012,GG
75125,박병호,2012,GG
72133,박용택,2012,GG
78168,서건창,2012,GG
77532,손아섭,2012,GG
95436,이승엽,2012,GG
74163,이용규,2012,GG
76355,장원삼,2012,GG
75847,최정,2012,GG
74540,강민호,2013,GG
76325,강정호,2013,GG
75125,박병호,2013,GG
72133,박용택,2013,GG
75321,손승락,2013,GG
77532,손아섭,2013,GG
76100,이병규,2013,GG
75808,정근우,2013,GG
75847,최정,2013,GG
72443,최형우,2013,GG
76325,강정호,2014,GG
62947,나성범,2014,GG
75125,박병호,2014,GG
74465,박석민,2014,GG
78168,서건창,2014,GG
77532,손아섭,2014,GG
76232,양의지,2014,GG
95436,이승엽,2014,GG
72443,최형우,2014,GG
74206,김재호,2015,GG
76290,김현수,2015,GG
64440,나바로,2015,GG
62947,나성범,2015,GG
74465,박석민,2015,GG
76232,양의지,2015,GG
74339,유한준,2015,GG
95436,이승엽,2015,GG
64914,테임즈,2015,GG
63938,해커,2015,GG
74206,김재호,2016,GG
78224,김재환,2016,GG
70410,김주찬,2016,GG
71752,김태균,2016,GG
61240,니퍼트,2016,GG
78168,서건창,2016,GG
76232,양의지,2016,GG
75847,최정,2016,GG
72443,최형우,2016,GG
64914,테임즈,2016,GG
74540,강민호,2017,GG
78603,김선빈,2017,GG
72133,박용택,2017,GG
67650,버나디나,2017,GG
77532,손아섭,2017,GG
79608,안치홍,2017,GG
77637,양현종,2017,GG
71564,이대호,2017,GG
75847,최정,2017,GG
72443,최형우,2017,GG
78224,김재환,2018,GG
64300,김하성,2018,GG
65543,린드블럼,2018,GG
75125,박병호,2018,GG
79608,안치홍,2018,GG
76232,양의지,2018,GG
71564,이대호,2018,GG
67341,이정후,2018,GG
78513,전준우,2018,GG
79240,허경민,2018,GG
64300,김하성,2019,GG
67025,로하스,2019,GG
65543,린드블럼,2019,GG
62907,박민우,2019,GG
75125,박병호,2019,GG
68345,샌즈,2019,GG
76232,양의지,2019,GG
67341,이정후,2019,GG
75847,최정,2019,GG
69209,페르난데스,2019,GG
68050,강백호,2020,GG
64300,김하성,2020,GG
76290,김현수,2020,GG
67025,로하스,2020,GG
62907,박민우,2020,GG
69045,알칸타라,2020,GG
76232,양의지,2020,GG
67341,이정후,2020,GG
72443,최형우,2020,GG
76313,황재균,2020,GG
74540,강민호,2021,GG
68050,강백호,2021,GG
62404,구자욱,2021,GG
67304,김혜성,2021,GG
51257,미란다,2021,GG
76232,양의지,2021,GG
67341,이정후,2021,GG
68743,정은원,2021,GG
75847,최정,2021,GG
66108,홍창기,2021,GG
67304,김혜성,2022,GG
62947,나성범,2022,GG
75125,박병호,2022,GG
68341,안우진,2022,GG
76232,양의지,2022,GG
79109,오지환,2022,GG
71564,이대호,2022,GG
67341,이정후,2022,GG
75847,최정,2022,GG
51463,피렐라,2022,GG
62404,구자욱,2023,GG
67304,김혜성,2023,GG
69737,노시환,2023,GG
79215,박건우,2023,GG
77532,손아섭,2023,GG
76232,양의지,2023,GG
53123,오스틴,2023,GG
79109,오지환,2023,GG
53913,페디,2023,GG
66108,홍창기,2023,GG
74540,강민호,2024,GG
62404,구자욱,2024,GG
52605,김도영,2024,GG
67304,김혜성,2024,GG
54529,레이예스,2024,GG
67025,로하스,2024,GG
64646,박찬호,2024,GG
53123,오스틴,2024,GG
72443,최형우,2024,GG
54930,하트,2024,GG
62404,구자욱,2025,GG
51907,김주원,2025,GG
54400,디아즈,2025,GG
54529,레이예스,2025,GG
65357,송성문,2025,GG
65207,신민재,2025,GG
52001,안현민,2025,GG
76232,양의지,2025,GG
72443,최형우,2025,GG
55730,폰세,2025,GG
92809,박경완,2000,MVP
70425,배영수,2004,MVP
97571,손민한,2005,MVP
77829,김광현,2008,MVP
70646,김상현,2009,MVP
71564,이대호,2010,MVP
74215,윤석민,2011,MVP
75125,박병호,2012,MVP
75125,박병호,2013,MVP
78168,서건창,2014,MVP
77637,양현종,2017,MVP
78224,김재환,2018,MVP
67341,이정후,2022,MVP
52605,김도영,2024,MVP
74540,강민호,2013,NT
76325,강정호,2013,NT
71752,김태균,2013,NT
76290,김현수,2013,NT
73211,노경은,2013,NT
76858,박희수,2013,NT
78640,서재응,2013,NT
75321,손승락,2013,NT
73213,손시헌,2013,NT
77532,손아섭,2013,NT
77591,송승준,2013,NT
75421,오승환,2013,NT
76757,유원상,2013,NT
74215,윤석민,2013,NT
74838,윤희상,2013,NT
95436,이승엽,2013,NT
74163,이용규,2013,NT
99810,이진영,2013,NT
76355,장원삼,2013,NT
74513,장원준,2013,NT
78513,전준우,2013,NT
75808,정근우,2013,NT
71801,정대현,2013,NT
97202,진갑용,2013,NT
76455,차우찬,2013,NT
75847,최정,2013,NT
74540,강민호,2014,NT
76325,강정호,2014,NT
77829,김광현,2014,NT
77564,김민성,2014,NT
79402,김상수,2014,NT
76290,김현수,2014,NT
62947,나성범,2014,NT
78629,나지완,2014,NT
76249,민병헌,2014,NT
75125,박병호,2014,NT
77147,봉중근,2014,NT
77532,손아섭,2014,NT
72463,안지만,2014,NT
77637,양현종,2014,NT
77248,오재원,2014,NT
76757,유원상,2014,NT
