collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2017,64868,조용호,SK,,False,69,191,0.2722513089005235,0.365,0.319,0.684,0.0469999999999999,0.342,0.316,82.1,0,10,34,52,7,1,25,3,39,11,-1.259,0.82,1.0
2018,64868,조용호,SK,,False,16,13,0.0769230769230769,0.077,0.077,0.154,0.0,0.125,0.064,-79.9,0,0,4,1,0,0,0,0,5,0,-0.22,-0.35,1.0
2019,64868,조용호,KT,,False,87,188,0.2925531914893617,0.364,0.356,0.72,0.063,0.344,0.338,101.2,0,19,15,55,6,3,21,0,28,3,-0.446,0.88,1.0
2020,64868,조용호,KT,,True,132,409,0.295843520782396,0.392,0.333,0.725,0.037,0.369,0.35,100.2,0,32,73,121,15,0,64,2,83,12,0.0,2.65,1.0
2021,64868,조용호,KT,,True,138,428,0.2359813084112149,0.349,0.273,0.622,0.037,0.29,0.3,75.4,0,48,71,101,14,1,74,3,85,12,-1.371,0.65,1.0
2022,64868,조용호,KT,,True,131,474,0.3080168776371308,0.374,0.382,0.756,0.074,0.358,0.347,113.2,3,44,52,146,18,4,49,3,74,5,0.249,3.25,1.0
2023,64868,조용호,KT,,False,63,161,0.2484472049689441,0.342,0.261,0.603,0.013,0.294,0.289,74.0,0,7,20,40,2,0,23,0,25,4,-1.204,0.35,1.0
2024,64868,조용호,KT,,False,60,149,0.2483221476510067,0.309,0.282,0.591,0.0339999999999999,0.298,0.274,53.0,0,13,17,37,5,0,13,0,25,5,-0.863,-0.55,1.0
2018,66992,조원빈,NC,,False,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.9,0,0,0,0,0,0,0,0,0,0,0.0,-0.03,1.0
2012,62147,조윤준,LG,,False,23,46,0.1956521739130435,0.196,0.217,0.413,0.0209999999999999,0.265,0.199,0.0,0,4,2,9,1,0,0,0,12,0,0.0,,1.0
2013,62147,조윤준,LG,,False,19,30,0.2,0.226,0.267,0.493,0.067,0.286,0.213,0.0,0,5,3,6,0,1,0,1,9,0,0.0,,1.0
2014,62147,조윤준,LG,,False,5,7,0.1428571428571428,0.25,0.143,0.393,0.0,0.167,0.18,0.0,0,0,1,1,0,0,1,0,1,0,-0.078,,1.0
2015,62147,조윤준,LG,,False,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-0.103,,1.0
